provenance,setting,policy,synthetic_run,human_units,anchor_units,agreement_pct
SIMULATED,Reuse,Random,0,20,10,64.31989307339919
SIMULATED,Reuse,Random,0,50,10,69.10640885842818
SIMULATED,Reuse,Random,0,100,10,72.49680251045277
SIMULATED,Reuse,Random,0,200,10,76.74776150236336
SIMULATED,Reuse,Random,1,20,10,66.25467750597879
SIMULATED,Reuse,Random,1,50,10,66.96008924188988
SIMULATED,Reuse,Random,1,100,10,71.74141215589161
SIMULATED,Reuse,Random,1,200,10,78.31843973010899
SIMULATED,Reuse,Random,2,20,10,63.93735384680981
SIMULATED,Reuse,Random,2,50,10,69.30334341001536
SIMULATED,Reuse,Random,2,100,10,72.8365411834345
SIMULATED,Reuse,Random,2,200,10,77.48305542374078
SIMULATED,Reuse,Random,3,20,10,65.05020864265141
SIMULATED,Reuse,Random,3,50,10,69.23741325824375
SIMULATED,Reuse,Random,3,100,10,72.20413089090641
SIMULATED,Reuse,Random,3,200,10,76.18660126843315
SIMULATED,Reuse,Random,4,20,10,64.03568794708924
SIMULATED,Reuse,Random,4,50,10,67.81211169355824
SIMULATED,Reuse,Random,4,100,10,75.33828328724772
SIMULATED,Reuse,Random,4,200,10,74.7271939913176
SIMULATED,Reuse,Random,5,20,10,65.50209991776659
SIMULATED,Reuse,Random,5,50,10,69.00266565342073
SIMULATED,Reuse,Random,5,100,10,71.88260765983486
SIMULATED,Reuse,Random,5,200,10,75.6666392201007
SIMULATED,Reuse,Random,6,20,10,61.71236275350579
SIMULATED,Reuse,Random,6,50,10,70.27613416551006
SIMULATED,Reuse,Random,6,100,10,74.08299734767174
SIMULATED,Reuse,Random,6,200,10,75.58057629735833
SIMULATED,Reuse,Random,7,20,10,67.02433729733438
SIMULATED,Reuse,Random,7,50,10,68.57827119890662
SIMULATED,Reuse,Random,7,100,10,74.71247725028992
SIMULATED,Reuse,Random,7,200,10,78.31636165014403
SIMULATED,Reuse,Random,8,20,10,63.89637432392693
SIMULATED,Reuse,Random,8,50,10,69.94075605419461
SIMULATED,Reuse,Random,8,100,10,75.51349839405864
SIMULATED,Reuse,Random,8,200,10,76.88554528527281
SIMULATED,Reuse,Random,9,20,10,66.80645092240616
SIMULATED,Reuse,Random,9,50,10,69.92882704738427
SIMULATED,Reuse,Random,9,100,10,71.72285000757279
SIMULATED,Reuse,Random,9,200,10,78.31812665734398
SIMULATED,Reuse,Random,10,20,10,64.24361735197462
SIMULATED,Reuse,Random,10,50,10,70.05158257003404
SIMULATED,Reuse,Random,10,100,10,73.37493170610495
SIMULATED,Reuse,Random,10,200,10,78.02472589983994
SIMULATED,Reuse,Random,11,20,10,63.34455412172286
SIMULATED,Reuse,Random,11,50,10,69.54123308080199
SIMULATED,Reuse,Random,11,100,10,74.8469511314053
SIMULATED,Reuse,Random,11,200,10,77.16340063742963
SIMULATED,Reuse,Uncertainty,0,20,10,64.91053569936606
SIMULATED,Reuse,Uncertainty,0,50,10,72.63793192786139
SIMULATED,Reuse,Uncertainty,0,100,10,75.04573570732751
SIMULATED,Reuse,Uncertainty,0,200,10,77.73960696674328
SIMULATED,Reuse,Uncertainty,1,20,10,66.55050607157625
SIMULATED,Reuse,Uncertainty,1,50,10,69.79085720854826
SIMULATED,Reuse,Uncertainty,1,100,10,73.87794076444841
SIMULATED,Reuse,Uncertainty,1,200,10,77.24071565675182
SIMULATED,Reuse,Uncertainty,2,20,10,65.6433799587638
SIMULATED,Reuse,Uncertainty,2,50,10,70.16415793150391
SIMULATED,Reuse,Uncertainty,2,100,10,75.7921908487596
SIMULATED,Reuse,Uncertainty,2,200,10,78.41351573633338
SIMULATED,Reuse,Uncertainty,3,20,10,65.45450916477691
SIMULATED,Reuse,Uncertainty,3,50,10,70.88657997605401
SIMULATED,Reuse,Uncertainty,3,100,10,74.64338363913811
SIMULATED,Reuse,Uncertainty,3,200,10,76.37727998648307
SIMULATED,Reuse,Uncertainty,4,20,10,66.1339692533628
SIMULATED,Reuse,Uncertainty,4,50,10,69.63614464793075
SIMULATED,Reuse,Uncertainty,4,100,10,76.21427900064236
SIMULATED,Reuse,Uncertainty,4,200,10,76.76950868329871
SIMULATED,Reuse,Uncertainty,5,20,10,66.77999285002394
SIMULATED,Reuse,Uncertainty,5,50,10,70.32135127388152
SIMULATED,Reuse,Uncertainty,5,100,10,74.93626165893504
SIMULATED,Reuse,Uncertainty,5,200,10,76.67818501533026
SIMULATED,Reuse,Uncertainty,6,20,10,63.892766723068696
SIMULATED,Reuse,Uncertainty,6,50,10,71.08437998041522
SIMULATED,Reuse,Uncertainty,6,100,10,76.0054612826528
SIMULATED,Reuse,Uncertainty,6,200,10,75.3538670092233
SIMULATED,Reuse,Uncertainty,7,20,10,67.03321647897421
SIMULATED,Reuse,Uncertainty,7,50,10,69.31341817931241
SIMULATED,Reuse,Uncertainty,7,100,10,76.26369142503852
SIMULATED,Reuse,Uncertainty,7,200,10,78.66765308697454
SIMULATED,Reuse,Uncertainty,8,20,10,66.949618215888
SIMULATED,Reuse,Uncertainty,8,50,10,72.09100689256164
SIMULATED,Reuse,Uncertainty,8,100,10,75.8540953784874
SIMULATED,Reuse,Uncertainty,8,200,10,77.32565723144712
SIMULATED,Reuse,Uncertainty,9,20,10,66.937052238472
SIMULATED,Reuse,Uncertainty,9,50,10,71.63010160911291
SIMULATED,Reuse,Uncertainty,9,100,10,73.2609764533302
SIMULATED,Reuse,Uncertainty,9,200,10,77.98878989215478
SIMULATED,Reuse,Uncertainty,10,20,10,66.46326404762713
SIMULATED,Reuse,Uncertainty,10,50,10,71.4600159439282
SIMULATED,Reuse,Uncertainty,10,100,10,75.03895019442002
SIMULATED,Reuse,Uncertainty,10,200,10,78.12978352227503
SIMULATED,Reuse,Uncertainty,11,20,10,65.15726527697531
SIMULATED,Reuse,Uncertainty,11,50,10,71.91098553698109
SIMULATED,Reuse,Uncertainty,11,100,10,75.63428212619434
SIMULATED,Reuse,Uncertainty,11,200,10,77.72242699972786
SIMULATED,Reuse,Model conflict,0,20,10,62.80187480839397
SIMULATED,Reuse,Model conflict,0,50,10,71.98205449860725
SIMULATED,Reuse,Model conflict,0,100,10,74.52048078766269
SIMULATED,Reuse,Model conflict,0,200,10,79.34238107945187
SIMULATED,Reuse,Model conflict,1,20,10,66.52327274356807
SIMULATED,Reuse,Model conflict,1,50,10,69.61619939223995
SIMULATED,Reuse,Model conflict,1,100,10,74.06026111597103
SIMULATED,Reuse,Model conflict,1,200,10,79.05741417914288
SIMULATED,Reuse,Model conflict,2,20,10,64.59388420654322
SIMULATED,Reuse,Model conflict,2,50,10,69.85672720674425
SIMULATED,Reuse,Model conflict,2,100,10,75.7859238040593
SIMULATED,Reuse,Model conflict,2,200,10,78.4310378466348
SIMULATED,Reuse,Model conflict,3,20,10,63.98768496443637
SIMULATED,Reuse,Model conflict,3,50,10,70.79432572701137
SIMULATED,Reuse,Model conflict,3,100,10,75.02277824831621
SIMULATED,Reuse,Model conflict,3,200,10,78.36867811172704
SIMULATED,Reuse,Model conflict,4,20,10,64.79810736053548
SIMULATED,Reuse,Model conflict,4,50,10,70.21757202463662
SIMULATED,Reuse,Model conflict,4,100,10,77.17064189114431
SIMULATED,Reuse,Model conflict,4,200,10,77.82491481689739
SIMULATED,Reuse,Model conflict,5,20,10,66.06485284148694
SIMULATED,Reuse,Model conflict,5,50,10,70.57184188033573
SIMULATED,Reuse,Model conflict,5,100,10,75.738315702711
SIMULATED,Reuse,Model conflict,5,200,10,79.62502486338322
