provenance,setting,domain,split,complete_pairs,delta_pp,lower,upper
SIMULATED,Reuse,TD-SV4,ID,159,5.241090146750524,1.5723270440251578,8.807651991614255
SIMULATED,Reuse,TD-IG1,ID,157,7.218683651804672,3.1847133757961785,11.146496815286625
SIMULATED,Reuse,TD-TG1,ID,158,2.004219409282701,-2.3206751054852313,6.012658227848101
SIMULATED,Reuse,TD-AR1,ID,160,1.458333333333334,-3.2291666666666665,6.458333333333334
SIMULATED,Collect,TD-SV2,ID,159,6.079664570230609,2.410901467505241,9.85587002096436
SIMULATED,Collect,TD-IG3,ID,157,1.9108280254777075,-2.547770700636942,6.265923566878979
SIMULATED,Collect,TD-TG2,ID,157,1.592356687898089,-2.9723991507430987,5.520169851380043
SIMULATED,Collect,TD-AR2,ID,158,0.7383966244725736,-3.481012658227849,4.960443037974681
SIMULATED,Reuse,TD-SV4,OOD,159,6.39412997903564,1.9916142557651997,10.904088050314465
SIMULATED,Reuse,TD-IG1,OOD,158,5.9071729957805905,1.6877637130801693,10.02373417721519
SIMULATED,Reuse,TD-TG1,OOD,157,0.6369426751592352,-3.7154989384288757,5.095541401273884
SIMULATED,Reuse,TD-AR1,OOD,158,-2.2151898734177213,-6.542721518987344,2.2151898734177213
SIMULATED,Collect,TD-SV2,OOD,160,5.3125,0.5182291666666674,9.6875
SIMULATED,Collect,TD-IG3,OOD,160,5.833333333333334,1.559895833333333,10.000000000000002
SIMULATED,Collect,TD-TG2,OOD,160,-2.9166666666666665,-7.1875,1.25
SIMULATED,Collect,TD-AR2,OOD,158,1.8987341772151907,-2.3233122362869194,6.751054852320674
