provenance,setting,domain,input_group,rater_1,rater_2,rater_3,group_agreement,group_outcome
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0000,2,0,0,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0001,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0002,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0003,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0004,2,2,2,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0005,1,2,1,0.3333333333333333,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0006,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0007,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0008,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0009,0,0,-1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0010,0,-1,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0011,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0012,0,0,-1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0013,2,2,-1,1.0,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0014,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0015,-1,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0016,-1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0017,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0018,0,2,2,0.3333333333333333,tie
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0019,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0020,1,1,1,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0021,0,0,0,1.0,decisive
SIMULATED,Reuse,TD-SV4,SIM-ANN-0-0022,0,0,0,1.0,decisive
