provenance,setting,domain,split,input_group,method,human_order,median_scores,complete,pairwise,top_region,best_of_4,rank_regret,cost_units
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0000,Single metric,3|1|2|0,-0.38252110|1.14402503|-0.24732086|3.70716126,1,1.00000000,1.00000000,1.00000000,0.00000000,0.168583
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0001,Single metric,1|3|0|2,-0.61606102|3.60147632|1.28829608|1.36374577,1,0.83333333,1.00000000,1.00000000,0.00000000,0.284549
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0002,Single metric,1|2|0|3,-1.40986947|0.87602413|-0.45670074|-2.33493517,1,1.00000000,1.00000000,1.00000000,0.00000000,0.167050
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0003,Single metric,3|1|2|0,-2.29557774|2.68298397|-1.09684844|1.46883365,1,0.83333333,0.80000000,0.00000000,0.33333333,0.206937
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0004,Single metric,1|3|2|0,-1.05852715|-2.10953853|0.70267280|-0.07059466,1,0.33333333,0.20000000,0.00000000,0.66666667,0.261199
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0005,Single metric,3|2|0|1,-1.64124153|-3.77962940|-1.36978596|-0.90174116,1,1.00000000,1.00000000,1.00000000,0.00000000,0.328615
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0006,Single metric,3|2|1|0,-2.43596062|-1.79588807|-2.27688867|1.81234335,1,0.83333333,0.80000000,1.00000000,0.00000000,0.213331
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0007,Single metric,3|2|0|1,-0.24342177|-1.64358431|3.48967465|-0.35483911,1,0.66666667,0.60000000,0.00000000,0.33333333,0.217606
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0008,Single metric,2|3|1|0,-1.52729176|-0.92165518|6.58244824|-0.57265688,1,1.00000000,1.00000000,1.00000000,0.00000000,0.250343
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0009,Single metric,2|3|0|1,1.61865913|-2.20909953|1.46282808|0.00376117,1,0.66666667,0.60000000,0.00000000,0.66666667,0.177807
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0010,Single metric,3|1|0|2,-0.19361255|2.11914638|-1.61348568|2.22558310,1,1.00000000,1.00000000,1.00000000,0.00000000,0.169961
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0011,Single metric,0|3|2|1,1.69404201|-1.09247939|-1.69833440|-1.46497004,1,0.66666667,0.80000000,1.00000000,0.00000000,0.280235
SIMULATED,Reuse,TD-SV4,ID,SIM-00-ID-0012,Single metric,2|1|0|3,-0.87856199|-3.24721292|2.93233030|1.08094375,1,0.50000000,0.60000000,1.00000000,0.00000000,0.194882
