provenance,domain,family,method,split,requested_groups,complete_groups,agreement_pct,lower_pct,upper_pct
SIMULATED,TD-SV1,SV,Static judge,OOD,160,154,67.74891774675324,64.17748922061689,71.32034629220779
SIMULATED,TD-SV1,SV,Static tools,OOD,160,154,70.45454545454545,66.99134200600649,73.70129869480519
SIMULATED,TD-SV1,SV,Prompt optimization,OOD,160,154,70.12987011038962,66.55844157775974,73.48484844821431
SIMULATED,TD-SV1,SV,Program search,OOD,160,154,73.26839825974027,69.91341991558441,76.62337658441558
SIMULATED,TD-SV1,SV,ERA,OOD,160,154,71.75324674025974,68.61471866201298,74.9999999810065
SIMULATED,TD-SV2,SV,Static judge,OOD,160,157,65.28662417834396,61.57112523566879,68.89596597484075
SIMULATED,TD-SV2,SV,Static tools,OOD,160,157,69.00212312738854,65.39278133742037,72.39915070063695
SIMULATED,TD-SV2,SV,Prompt optimization,OOD,160,157,67.51592356687898,64.22505310828025,70.80679405095542
SIMULATED,TD-SV2,SV,Program search,OOD,160,157,70.5944798089172,66.87898087882166,73.88535029936307
SIMULATED,TD-SV2,SV,ERA,OOD,160,157,73.24840760509554,69.85138001242038,76.53927808280255
SIMULATED,TD-SV3,SV,Static judge,OOD,160,159,71.69811316352201,67.92452829496854,75.2620544654088
SIMULATED,TD-SV3,SV,Static tools,OOD,160,159,74.00419281132075,70.96173996619497,76.83438145943397
SIMULATED,TD-SV3,SV,Prompt optimization,OOD,160,159,75.05241086792454,71.80293498694968,78.19706494984277
SIMULATED,TD-SV3,SV,Program search,OOD,160,159,74.00419289308175,70.9643606284591,76.83438155990565
SIMULATED,TD-SV3,SV,ERA,OOD,160,159,76.20545069182391,73.1656184086478,79.14046115125787
SIMULATED,TD-SV4,SV,Static judge,OOD,160,153,69.0631808627451,65.35947718954247,72.33387799689541
SIMULATED,TD-SV4,SV,Static tools,OOD,160,153,72.76688448366014,69.38725480751636,76.14379079133988
SIMULATED,TD-SV4,SV,Prompt optimization,OOD,160,153,71.67755987581698,68.19172111715687,74.94553369297387
SIMULATED,TD-SV4,SV,Program search,OOD,160,153,71.6775598888889,68.30065360751634,75.05446618316995
SIMULATED,TD-SV4,SV,ERA,OOD,160,153,79.62962956862745,76.36165577712417,82.67973848382354
SIMULATED,TD-SV5,SV,Static judge,OOD,160,160,67.08333331875001,64.37500000562501,69.99999995671875
SIMULATED,TD-SV5,SV,Static tools,OOD,160,160,71.04166665625,67.91666666234374,74.16666660640625
SIMULATED,TD-SV5,SV,Prompt optimization,OOD,160,160,72.708333275,69.47916664921874,75.93749991296875
SIMULATED,TD-SV5,SV,Program search,OOD,160,160,72.70833328125,69.37499994984374,76.04166659390626
SIMULATED,TD-SV5,SV,ERA,OOD,160,160,74.27083328125,71.14583326250002,77.49999995015627
SIMULATED,TD-SV6,SV,Static judge,OOD,160,155,67.95698923225807,64.19354840629032,71.50537629693548
SIMULATED,TD-SV6,SV,Static tools,OOD,160,155,68.8172042967742,65.16129034177419,72.47311825822581
SIMULATED,TD-SV6,SV,Prompt optimization,OOD,160,155,68.60215049032257,64.83602142935484,72.26075264822579
SIMULATED,TD-SV6,SV,Program search,OOD,160,155,69.13978492903226,65.80645161935485,72.2580644716129
SIMULATED,TD-SV6,SV,ERA,OOD,160,155,68.38709676774194,64.94623654177418,71.61559140322579
SIMULATED,TD-IG1,IG,Static judge,OOD,160,156,70.19230766025643,66.77350423685898,73.71794866698718
SIMULATED,TD-IG1,IG,Static tools,OOD,160,156,70.29914526923076,67.20085467932691,73.39743587211538
SIMULATED,TD-IG1,IG,Prompt optimization,OOD,160,156,71.79487177564103,68.05555554471154,75.4300213741987
SIMULATED,TD-IG1,IG,Program search,OOD,160,156,71.15384612820512,68.48290594182693,73.93429486810895
SIMULATED,TD-IG1,IG,ERA,OOD,160,156,76.38888882692308,73.07692303173077,79.38301279086537
SIMULATED,TD-IG2,IG,Static judge,OOD,160,155,67.09677421935484,63.440860277096775,70.64516129677419
SIMULATED,TD-IG2,IG,Static tools,OOD,160,155,71.39784943870968,68.17204298064516,74.62365589677418
SIMULATED,TD-IG2,IG,Prompt optimization,OOD,160,155,71.07526876774195,67.63440854806453,74.62365583903225
SIMULATED,TD-IG2,IG,Program search,OOD,160,155,73.0107526516129,69.67741932903225,76.45161285225805
SIMULATED,TD-IG2,IG,ERA,OOD,160,155,66.77419354193547,63.11559137112902,70.32258063241936
SIMULATED,TD-IG3,IG,Static judge,OOD,160,158,69.83122356962025,65.82278479731013,73.52320670268989
SIMULATED,TD-IG3,IG,Static tools,OOD,160,158,72.25738393037975,68.5654008352848,75.84388179762658
SIMULATED,TD-IG3,IG,Prompt optimization,OOD,160,158,72.67932483544304,69.72573835443039,75.73839654477848
SIMULATED,TD-IG3,IG,Program search,OOD,160,158,73.31223628481014,70.04219411376582,76.47679326012658
SIMULATED,TD-IG3,IG,ERA,OOD,160,158,78.0590716265823,75.21097037341772,81.0126581265823
SIMULATED,TD-IG4,IG,Static judge,OOD,160,155,74.08602143870968,70.86021501935484,77.09677412919356
SIMULATED,TD-IG4,IG,Static tools,OOD,160,155,73.33333330322581,70.53763437403225,76.12903218080646
SIMULATED,TD-IG4,IG,Prompt optimization,OOD,160,155,75.16129027096774,72.04301070951612,78.2795698453226
SIMULATED,TD-IG4,IG,Program search,OOD,160,155,73.76344081935484,70.4301074966129,77.09946235112902
SIMULATED,TD-IG4,IG,ERA,OOD,160,155,77.09677412903227,74.08602146435483,80.21505367758066
SIMULATED,TD-IG5,IG,Static judge,OOD,160,157,65.81740972611465,61.99575366878981,69.63906572611465
SIMULATED,TD-IG5,IG,Static tools,OOD,160,157,67.51592355414012,64.0100848888535,71.12526536321656
SIMULATED,TD-IG5,IG,Prompt optimization,OOD,160,157,68.47133755414012,65.28662419729298,71.97452223598727
SIMULATED,TD-IG5,IG,Program search,OOD,160,157,69.10828021656052,65.605095522293,72.39915067563693
SIMULATED,TD-IG5,IG,ERA,OOD,160,157,68.68365176433122,65.1804670571656,72.08067936990446
SIMULATED,TD-IG6,IG,Static judge,OOD,160,157,68.25902334394904,64.5435244455414,71.65605093630573
SIMULATED,TD-IG6,IG,Static tools,OOD,160,157,69.00212311464969,65.711252630414,72.29299356687898
SIMULATED,TD-IG6,IG,Prompt optimization,OOD,160,157,68.68365180891719,65.18046713933121,71.97452228041402
SIMULATED,TD-IG6,IG,Program search,OOD,160,157,72.39915072611464,69.10828021640127,75.69002121671974
SIMULATED,TD-IG6,IG,ERA,OOD,160,157,73.03609335031848,69.85137999968153,76.11464959251593
SIMULATED,TD-TG1,TG,Static judge,OOD,160,154,72.7272726883117,69.37229433733766,75.97402592256492
SIMULATED,TD-TG1,TG,Static tools,OOD,160,154,74.3506493051948,71.10389607792207,77.48917738376623
SIMULATED,TD-TG1,TG,Prompt optimization,OOD,160,154,76.08225104545454,72.94372289594156,79.2207791560065
SIMULATED,TD-TG1,TG,Program search,OOD,160,154,76.51515142857143,73.37662329204545,79.65367952646105
SIMULATED,TD-TG1,TG,ERA,OOD,160,154,74.56709954545454,71.32034631818183,77.70562767532468
SIMULATED,TD-TG2,TG,Static judge,OOD,160,155,67.6344085483871,63.978494599516125,71.39784935483871
SIMULATED,TD-TG2,TG,Static tools,OOD,160,155,69.99999998709676,66.88172043209678,73.01075268403227
SIMULATED,TD-TG2,TG,Prompt optimization,OOD,160,155,67.2043010516129,63.54838709032259,70.75268814870968
SIMULATED,TD-TG2,TG,Program search,OOD,160,155,69.24731178064516,65.15860208693549,73.12096771225805
SIMULATED,TD-TG2,TG,ERA,OOD,160,155,67.41935480000001,63.8709676966129,70.6451612516129
SIMULATED,TD-TG3,TG,Static judge,OOD,160,158,73.31223624050634,70.25316456250002,76.26582271550633
SIMULATED,TD-TG3,TG,Static tools,OOD,160,158,75.7383965886076,72.5738396454114,78.69198306962025
SIMULATED,TD-TG3,TG,Prompt optimization,OOD,160,158,72.25738393670886,68.98734177816455,75.73839659509494
SIMULATED,TD-TG3,TG,Program search,OOD,160,158,75.10548517721519,72.0464134556962,78.37552736724683
SIMULATED,TD-TG3,TG,ERA,OOD,160,158,72.3628691835443,69.19567507943039,75.84388181075951
