provenance,domain,input_group,complete_all_methods
SIMULATED,TD-SV1,SIM-08-OOD-0000,1
SIMULATED,TD-SV1,SIM-08-OOD-0001,1
SIMULATED,TD-SV1,SIM-08-OOD-0002,1
SIMULATED,TD-SV1,SIM-08-OOD-0003,0
SIMULATED,TD-SV1,SIM-08-OOD-0004,1
SIMULATED,TD-SV1,SIM-08-OOD-0005,1
SIMULATED,TD-SV1,SIM-08-OOD-0006,1
SIMULATED,TD-SV1,SIM-08-OOD-0007,1
SIMULATED,TD-SV1,SIM-08-OOD-0008,1
SIMULATED,TD-SV1,SIM-08-OOD-0009,1
SIMULATED,TD-SV1,SIM-08-OOD-0010,1
SIMULATED,TD-SV1,SIM-08-OOD-0011,1
SIMULATED,TD-SV1,SIM-08-OOD-0012,1
SIMULATED,TD-SV1,SIM-08-OOD-0013,1
SIMULATED,TD-SV1,SIM-08-OOD-0014,1
SIMULATED,TD-SV1,SIM-08-OOD-0015,1
SIMULATED,TD-SV1,SIM-08-OOD-0016,1
SIMULATED,TD-SV1,SIM-08-OOD-0017,1
SIMULATED,TD-SV1,SIM-08-OOD-0018,1
SIMULATED,TD-SV1,SIM-08-OOD-0019,1
SIMULATED,TD-SV1,SIM-08-OOD-0020,1
SIMULATED,TD-SV1,SIM-08-OOD-0021,1
SIMULATED,TD-SV1,SIM-08-OOD-0022,1
SIMULATED,TD-SV1,SIM-08-OOD-0023,1
SIMULATED,TD-SV1,SIM-08-OOD-0024,1
SIMULATED,TD-SV1,SIM-08-OOD-0025,1
SIMULATED,TD-SV1,SIM-08-OOD-0026,1
SIMULATED,TD-SV1,SIM-08-OOD-0027,1
SIMULATED,TD-SV1,SIM-08-OOD-0028,1
SIMULATED,TD-SV1,SIM-08-OOD-0029,1
SIMULATED,TD-SV1,SIM-08-OOD-0030,0
SIMULATED,TD-SV1,SIM-08-OOD-0031,1
SIMULATED,TD-SV1,SIM-08-OOD-0032,1
SIMULATED,TD-SV1,SIM-08-OOD-0033,1
SIMULATED,TD-SV1,SIM-08-OOD-0034,1
SIMULATED,TD-SV1,SIM-08-OOD-0035,1
SIMULATED,TD-SV1,SIM-08-OOD-0036,1
SIMULATED,TD-SV1,SIM-08-OOD-0037,0
SIMULATED,TD-SV1,SIM-08-OOD-0038,1
SIMULATED,TD-SV1,SIM-08-OOD-0039,1
SIMULATED,TD-SV1,SIM-08-OOD-0040,1
SIMULATED,TD-SV1,SIM-08-OOD-0041,1
SIMULATED,TD-SV1,SIM-08-OOD-0042,1
SIMULATED,TD-SV1,SIM-08-OOD-0043,1
SIMULATED,TD-SV1,SIM-08-OOD-0044,1
SIMULATED,TD-SV1,SIM-08-OOD-0045,1
SIMULATED,TD-SV1,SIM-08-OOD-0046,1
SIMULATED,TD-SV1,SIM-08-OOD-0047,1
SIMULATED,TD-SV1,SIM-08-OOD-0048,1
SIMULATED,TD-SV1,SIM-08-OOD-0049,1
SIMULATED,TD-SV1,SIM-08-OOD-0050,1
SIMULATED,TD-SV1,SIM-08-OOD-0051,1
SIMULATED,TD-SV1,SIM-08-OOD-0052,1
SIMULATED,TD-SV1,SIM-08-OOD-0053,1
SIMULATED,TD-SV1,SIM-08-OOD-0054,1
SIMULATED,TD-SV1,SIM-08-OOD-0055,1
SIMULATED,TD-SV1,SIM-08-OOD-0056,1
SIMULATED,TD-SV1,SIM-08-OOD-0057,1
SIMULATED,TD-SV1,SIM-08-OOD-0058,1
SIMULATED,TD-SV1,SIM-08-OOD-0059,1
SIMULATED,TD-SV1,SIM-08-OOD-0060,1
SIMULATED,TD-SV1,SIM-08-OOD-0061,1
SIMULATED,TD-SV1,SIM-08-OOD-0062,1
SIMULATED,TD-SV1,SIM-08-OOD-0063,1
SIMULATED,TD-SV1,SIM-08-OOD-0064,1
SIMULATED,TD-SV1,SIM-08-OOD-0065,1
SIMULATED,TD-SV1,SIM-08-OOD-0066,1
SIMULATED,TD-SV1,SIM-08-OOD-0067,1
SIMULATED,TD-SV1,SIM-08-OOD-0068,1
SIMULATED,TD-SV1,SIM-08-OOD-0069,1
SIMULATED,TD-SV1,SIM-08-OOD-0070,1
SIMULATED,TD-SV1,SIM-08-OOD-0071,1
SIMULATED,TD-SV1,SIM-08-OOD-0072,1
SIMULATED,TD-SV1,SIM-08-OOD-0073,1
SIMULATED,TD-SV1,SIM-08-OOD-0074,1
SIMULATED,TD-SV1,SIM-08-OOD-0075,1
SIMULATED,TD-SV1,SIM-08-OOD-0076,1
SIMULATED,TD-SV1,SIM-08-OOD-0077,1
SIMULATED,TD-SV1,SIM-08-OOD-0078,1
SIMULATED,TD-SV1,SIM-08-OOD-0079,1
SIMULATED,TD-SV1,SIM-08-OOD-0080,1
SIMULATED,TD-SV1,SIM-08-OOD-0081,1
SIMULATED,TD-SV1,SIM-08-OOD-0082,1
SIMULATED,TD-SV1,SIM-08-OOD-0083,1
SIMULATED,TD-SV1,SIM-08-OOD-0084,1
SIMULATED,TD-SV1,SIM-08-OOD-0085,1
SIMULATED,TD-SV1,SIM-08-OOD-0086,1
SIMULATED,TD-SV1,SIM-08-OOD-0087,1
SIMULATED,TD-SV1,SIM-08-OOD-0088,1
SIMULATED,TD-SV1,SIM-08-OOD-0089,1
SIMULATED,TD-SV1,SIM-08-OOD-0090,1
SIMULATED,TD-SV1,SIM-08-OOD-0091,1
SIMULATED,TD-SV1,SIM-08-OOD-0092,1
SIMULATED,TD-SV1,SIM-08-OOD-0093,1
SIMULATED,TD-SV1,SIM-08-OOD-0094,1
SIMULATED,TD-SV1,SIM-08-OOD-0095,1
SIMULATED,TD-SV1,SIM-08-OOD-0096,1
SIMULATED,TD-SV1,SIM-08-OOD-0097,1
SIMULATED,TD-SV1,SIM-08-OOD-0098,1
SIMULATED,TD-SV1,SIM-08-OOD-0099,1
SIMULATED,TD-SV1,SIM-08-OOD-0100,1
SIMULATED,TD-SV1,SIM-08-OOD-0101,1
SIMULATED,TD-SV1,SIM-08-OOD-0102,1
SIMULATED,TD-SV1,SIM-08-OOD-0103,1
SIMULATED,TD-SV1,SIM-08-OOD-0104,1
SIMULATED,TD-SV1,SIM-08-OOD-0105,1
SIMULATED,TD-SV1,SIM-08-OOD-0106,1
SIMULATED,TD-SV1,SIM-08-OOD-0107,1
SIMULATED,TD-SV1,SIM-08-OOD-0108,0
SIMULATED,TD-SV1,SIM-08-OOD-0109,1
SIMULATED,TD-SV1,SIM-08-OOD-0110,1
SIMULATED,TD-SV1,SIM-08-OOD-0111,1
SIMULATED,TD-SV1,SIM-08-OOD-0112,1
SIMULATED,TD-SV1,SIM-08-OOD-0113,1
SIMULATED,TD-SV1,SIM-08-OOD-0114,0
SIMULATED,TD-SV1,SIM-08-OOD-0115,1
SIMULATED,TD-SV1,SIM-08-OOD-0116,1
SIMULATED,TD-SV1,SIM-08-OOD-0117,1
SIMULATED,TD-SV1,SIM-08-OOD-0118,1
SIMULATED,TD-SV1,SIM-08-OOD-0119,1
SIMULATED,TD-SV1,SIM-08-OOD-0120,1
SIMULATED,TD-SV1,SIM-08-OOD-0121,1
SIMULATED,TD-SV1,SIM-08-OOD-0122,1
SIMULATED,TD-SV1,SIM-08-OOD-0123,1
SIMULATED,TD-SV1,SIM-08-OOD-0124,1
SIMULATED,TD-SV1,SIM-08-OOD-0125,1
SIMULATED,TD-SV1,SIM-08-OOD-0126,1
SIMULATED,TD-SV1,SIM-08-OOD-0127,1
SIMULATED,TD-SV1,SIM-08-OOD-0128,1
SIMULATED,TD-SV1,SIM-08-OOD-0129,1
SIMULATED,TD-SV1,SIM-08-OOD-0130,1
SIMULATED,TD-SV1,SIM-08-OOD-0131,1
SIMULATED,TD-SV1,SIM-08-OOD-0132,1
SIMULATED,TD-SV1,SIM-08-OOD-0133,1
SIMULATED,TD-SV1,SIM-08-OOD-0134,1
SIMULATED,TD-SV1,SIM-08-OOD-0135,1
SIMULATED,TD-SV1,SIM-08-OOD-0136,1
SIMULATED,TD-SV1,SIM-08-OOD-0137,1
SIMULATED,TD-SV1,SIM-08-OOD-0138,1
SIMULATED,TD-SV1,SIM-08-OOD-0139,0
