provenance,domain,family,method,split,requested_groups,successes,best_of_4_pct
SIMULATED,TD-SV1,SV,Static judge,OOD,160,74,46.25
SIMULATED,TD-SV1,SV,Static tools,OOD,160,79,49.375
SIMULATED,TD-SV1,SV,Prompt optimization,OOD,160,70,43.75
SIMULATED,TD-SV1,SV,Program search,OOD,160,86,53.75
SIMULATED,TD-SV1,SV,ERA,OOD,160,82,51.25
SIMULATED,TD-SV2,SV,Static judge,OOD,160,71,44.375
SIMULATED,TD-SV2,SV,Static tools,OOD,160,74,46.25
SIMULATED,TD-SV2,SV,Prompt optimization,OOD,160,71,44.375
SIMULATED,TD-SV2,SV,Program search,OOD,160,84,52.5
SIMULATED,TD-SV2,SV,ERA,OOD,160,90,56.25
SIMULATED,TD-SV3,SV,Static judge,OOD,160,83,51.875
SIMULATED,TD-SV3,SV,Static tools,OOD,160,91,56.875
SIMULATED,TD-SV3,SV,Prompt optimization,OOD,160,97,60.625
SIMULATED,TD-SV3,SV,Program search,OOD,160,85,53.125
SIMULATED,TD-SV3,SV,ERA,OOD,160,100,62.5
SIMULATED,TD-SV4,SV,Static judge,OOD,160,79,49.375
SIMULATED,TD-SV4,SV,Static tools,OOD,160,96,60.0
SIMULATED,TD-SV4,SV,Prompt optimization,OOD,160,83,51.875
SIMULATED,TD-SV4,SV,Program search,OOD,160,87,54.375
SIMULATED,TD-SV4,SV,ERA,OOD,160,106,66.25
SIMULATED,TD-SV5,SV,Static judge,OOD,160,71,44.375
SIMULATED,TD-SV5,SV,Static tools,OOD,160,86,53.75
SIMULATED,TD-SV5,SV,Prompt optimization,OOD,160,89,55.625
SIMULATED,TD-SV5,SV,Program search,OOD,160,81,50.625
SIMULATED,TD-SV5,SV,ERA,OOD,160,95,59.375
SIMULATED,TD-SV6,SV,Static judge,OOD,160,74,46.25
SIMULATED,TD-SV6,SV,Static tools,OOD,160,83,51.875
SIMULATED,TD-SV6,SV,Prompt optimization,OOD,160,86,53.75
SIMULATED,TD-SV6,SV,Program search,OOD,160,82,51.25
SIMULATED,TD-SV6,SV,ERA,OOD,160,70,43.75
SIMULATED,TD-IG1,IG,Static judge,OOD,160,85,53.125
SIMULATED,TD-IG1,IG,Static tools,OOD,160,83,51.875
SIMULATED,TD-IG1,IG,Prompt optimization,OOD,160,86,53.75
SIMULATED,TD-IG1,IG,Program search,OOD,160,84,52.5
SIMULATED,TD-IG1,IG,ERA,OOD,160,92,57.5
SIMULATED,TD-IG2,IG,Static judge,OOD,160,62,38.75
SIMULATED,TD-IG2,IG,Static tools,OOD,160,84,52.5
SIMULATED,TD-IG2,IG,Prompt optimization,OOD,160,84,52.5
SIMULATED,TD-IG2,IG,Program search,OOD,160,94,58.75
SIMULATED,TD-IG2,IG,ERA,OOD,160,75,46.875
SIMULATED,TD-IG3,IG,Static judge,OOD,160,85,53.125
SIMULATED,TD-IG3,IG,Static tools,OOD,160,91,56.875
SIMULATED,TD-IG3,IG,Prompt optimization,OOD,160,94,58.75
SIMULATED,TD-IG3,IG,Program search,OOD,160,92,57.5
SIMULATED,TD-IG3,IG,ERA,OOD,160,98,61.25
SIMULATED,TD-IG4,IG,Static judge,OOD,160,89,55.625
SIMULATED,TD-IG4,IG,Static tools,OOD,160,86,53.75
SIMULATED,TD-IG4,IG,Prompt optimization,OOD,160,94,58.75
SIMULATED,TD-IG4,IG,Program search,OOD,160,88,55.0
SIMULATED,TD-IG4,IG,ERA,OOD,160,95,59.375
SIMULATED,TD-IG5,IG,Static judge,OOD,160,71,44.375
SIMULATED,TD-IG5,IG,Static tools,OOD,160,71,44.375
SIMULATED,TD-IG5,IG,Prompt optimization,OOD,160,80,50.0
SIMULATED,TD-IG5,IG,Program search,OOD,160,82,51.25
SIMULATED,TD-IG5,IG,ERA,OOD,160,77,48.125
SIMULATED,TD-IG6,IG,Static judge,OOD,160,70,43.75
SIMULATED,TD-IG6,IG,Static tools,OOD,160,69,43.125
SIMULATED,TD-IG6,IG,Prompt optimization,OOD,160,73,45.625
SIMULATED,TD-IG6,IG,Program search,OOD,160,83,51.875
SIMULATED,TD-IG6,IG,ERA,OOD,160,85,53.125
SIMULATED,TD-TG1,TG,Static judge,OOD,160,93,58.125
SIMULATED,TD-TG1,TG,Static tools,OOD,160,92,57.5
SIMULATED,TD-TG1,TG,Prompt optimization,OOD,160,95,59.375
SIMULATED,TD-TG1,TG,Program search,OOD,160,93,58.125
SIMULATED,TD-TG1,TG,ERA,OOD,160,97,60.625
SIMULATED,TD-TG2,TG,Static judge,OOD,160,72,45.0
SIMULATED,TD-TG2,TG,Static tools,OOD,160,87,54.375
