provenance,setting,domain,split,method,metric,mean,lower,upper,coverage,cost_units
SIMULATED,Reuse,TD-SV4,ID,Single metric,pairwise,0.6697916666666667,0.6354166666666666,0.7073177083333333,1.0,0.2250822762932912
SIMULATED,Reuse,TD-SV4,ID,Single metric,top_region,0.6849999999999999,0.64625,0.725,1.0,0.2250822762932912
SIMULATED,Reuse,TD-SV4,ID,Single metric,best_of_4,0.4875,0.4125,0.5625,1.0,0.2250822762932912
SIMULATED,Reuse,TD-SV4,ID,Single metric,rank_regret,0.3,0.24791666666666665,0.3563020833333333,1.0,0.2250822762932912
SIMULATED,Reuse,TD-SV4,ID,Metric ensemble,pairwise,0.7267932489451477,0.6919831223628693,0.7584651898734177,0.9875,0.6478198396735164
SIMULATED,Reuse,TD-SV4,ID,Metric ensemble,top_region,0.7417721518987341,0.7088607594936709,0.7759810126582277,0.9875,0.6478198396735164
SIMULATED,Reuse,TD-SV4,ID,Metric ensemble,best_of_4,0.5443037974683544,0.46835443037974683,0.620253164556962,0.9875,0.6478198396735164
SIMULATED,Reuse,TD-SV4,ID,Metric ensemble,rank_regret,0.22784810126582278,0.1856012658227848,0.2742616033755274,0.9875,0.6478198396735164
SIMULATED,Reuse,TD-SV4,ID,Static judge,pairwise,0.749475890985325,0.7180293501048218,0.7788522012578617,0.99375,0.7849767821229274
SIMULATED,Reuse,TD-SV4,ID,Static judge,top_region,0.7559748427672955,0.7219811320754715,0.7911949685534589,0.99375,0.7849767821229274
SIMULATED,Reuse,TD-SV4,ID,Static judge,best_of_4,0.5660377358490566,0.49056603773584906,0.6415094339622641,0.99375,0.7849767821229274
SIMULATED,Reuse,TD-SV4,ID,Static judge,rank_regret,0.20964360587002093,0.16771488469601675,0.25576519916142554,0.99375,0.7849767821229274
SIMULATED,Reuse,TD-SV4,ID,Static tools,pairwise,0.7777777777777777,0.7452830188679245,0.8092243186582808,0.99375,1.0393338144050355
SIMULATED,Reuse,TD-SV4,ID,Static tools,top_region,0.7861635220125784,0.7522012578616352,0.8176100628930818,0.99375,1.0393338144050355
SIMULATED,Reuse,TD-SV4,ID,Static tools,best_of_4,0.6037735849056604,0.5283018867924528,0.6792452830188679,0.99375,1.0393338144050355
SIMULATED,Reuse,TD-SV4,ID,Static tools,rank_regret,0.18867924528301888,0.14884696016771487,0.23060796645702306,0.99375,1.0393338144050355
SIMULATED,Reuse,TD-SV4,ID,Prompt optimization,pairwise,0.7421383647798742,0.708569182389937,0.7736111111111111,0.99375,1.176925921091988
SIMULATED,Reuse,TD-SV4,ID,Prompt optimization,top_region,0.7584905660377358,0.7245283018867924,0.7962264150943394,0.99375,1.176925921091988
SIMULATED,Reuse,TD-SV4,ID,Prompt optimization,best_of_4,0.5660377358490566,0.48427672955974843,0.6415094339622641,0.99375,1.176925921091988
SIMULATED,Reuse,TD-SV4,ID,Prompt optimization,rank_regret,0.21593291404612155,0.16981132075471697,0.2641509433962264,0.99375,1.176925921091988
SIMULATED,Reuse,TD-SV4,ID,Program search,pairwise,0.7767295597484277,0.7494758909853249,0.8050314465408804,0.99375,1.379618386955639
SIMULATED,Reuse,TD-SV4,ID,Program search,top_region,0.7735849056603773,0.742138364779874,0.8025786163522012,0.99375,1.379618386955639
SIMULATED,Reuse,TD-SV4,ID,Program search,best_of_4,0.5786163522012578,0.4968553459119497,0.6540880503144654,0.99375,1.379618386955639
SIMULATED,Reuse,TD-SV4,ID,Program search,rank_regret,0.18867924528301885,0.1509433962264151,0.22437106918238992,0.99375,1.379618386955639
SIMULATED,Reuse,TD-SV4,ID,ERA,pairwise,0.8270833333333332,0.8020833333333333,0.853125,1.0,1.5840546591807088
SIMULATED,Reuse,TD-SV4,ID,ERA,top_region,0.8424999999999999,0.8149687499999998,0.8699999999999999,1.0,1.5840546591807088
SIMULATED,Reuse,TD-SV4,ID,ERA,best_of_4,0.65625,0.58125,0.725,1.0,1.5840546591807088
SIMULATED,Reuse,TD-SV4,ID,ERA,rank_regret,0.1375,0.10416666666666666,0.16666666666666666,1.0,1.5840546591807088
SIMULATED,Reuse,TD-SV4,OOD,Single metric,pairwise,0.668763102725367,0.6320754716981133,0.7044025157232704,0.99375,0.23206961554018127
SIMULATED,Reuse,TD-SV4,OOD,Single metric,top_region,0.6792452830188679,0.6415094339622641,0.7207861635220127,0.99375,0.23206961554018127
SIMULATED,Reuse,TD-SV4,OOD,Single metric,best_of_4,0.5031446540880503,0.42138364779874216,0.5786163522012578,0.99375,0.23206961554018127
SIMULATED,Reuse,TD-SV4,OOD,Single metric,rank_regret,0.2893081761006289,0.23689727463312368,0.3438155136268344,0.99375,0.23206961554018127
SIMULATED,Reuse,TD-SV4,OOD,Metric ensemble,pairwise,0.6989583333333333,0.6635416666666667,0.7302083333333333,1.0,0.6676181329978501
SIMULATED,Reuse,TD-SV4,OOD,Metric ensemble,top_region,0.71625,0.67875,0.7537499999999999,1.0,0.6676181329978501
SIMULATED,Reuse,TD-SV4,OOD,Metric ensemble,best_of_4,0.475,0.4,0.55625,1.0,0.6676181329978501
SIMULATED,Reuse,TD-SV4,OOD,Metric ensemble,rank_regret,0.2708333333333333,0.225,0.3208333333333333,1.0,0.6676181329978501
SIMULATED,Reuse,TD-SV4,OOD,Static judge,pairwise,0.6886792452830188,0.6530136268343816,0.721200209643606,0.99375,0.7798463136682796
SIMULATED,Reuse,TD-SV4,OOD,Static judge,top_region,0.7018867924528301,0.6641194968553459,0.7434276729559748,0.99375,0.7798463136682796
SIMULATED,Reuse,TD-SV4,OOD,Static judge,best_of_4,0.4968553459119497,0.42138364779874216,0.5723270440251572,0.99375,0.7798463136682796
SIMULATED,Reuse,TD-SV4,OOD,Static judge,rank_regret,0.26205450733752617,0.21593291404612155,0.31032494758909845,0.99375,0.7798463136682796
SIMULATED,Reuse,TD-SV4,OOD,Static tools,pairwise,0.7302083333333333,0.696875,0.7625,1.0,0.9980020746352085
SIMULATED,Reuse,TD-SV4,OOD,Static tools,top_region,0.7474999999999999,0.7112499999999999,0.7825312499999999,1.0,0.9980020746352085
SIMULATED,Reuse,TD-SV4,OOD,Static tools,best_of_4,0.6,0.525,0.675,1.0,0.9980020746352085
SIMULATED,Reuse,TD-SV4,OOD,Static tools,rank_regret,0.19375,0.15416666666666665,0.2375,1.0,0.9980020746352085
SIMULATED,Reuse,TD-SV4,OOD,Prompt optimization,pairwise,0.718683651804671,0.6857749469214437,0.7505307855626328,0.98125,1.1385180630181702
SIMULATED,Reuse,TD-SV4,OOD,Prompt optimization,top_region,0.72484076433121,0.686592356687898,0.7605095541401273,0.98125,1.1385180630181702
SIMULATED,Reuse,TD-SV4,OOD,Prompt optimization,best_of_4,0.5286624203821656,0.445859872611465,0.6052547770700635,0.98125,1.1385180630181702
SIMULATED,Reuse,TD-SV4,OOD,Prompt optimization,rank_regret,0.2526539278131635,0.2016985138004246,0.3015392781316348,0.98125,1.1385180630181702
SIMULATED,Reuse,TD-SV4,OOD,Program search,pairwise,0.7183544303797468,0.6835443037974683,0.752162447257384,0.9875,1.3670593661454251
SIMULATED,Reuse,TD-SV4,OOD,Program search,top_region,0.7215189873417721,0.683512658227848,0.760759493670886,0.9875,1.3670593661454251
SIMULATED,Reuse,TD-SV4,OOD,Program search,best_of_4,0.5506329113924051,0.47468354430379744,0.6392405063291139,0.9875,1.3670593661454251
SIMULATED,Reuse,TD-SV4,OOD,Program search,rank_regret,0.23839662447257381,0.1919831223628692,0.28902953586497887,0.9875,1.3670593661454251
SIMULATED,Reuse,TD-SV4,OOD,ERA,pairwise,0.7955974842767295,0.7631027253668764,0.8259958071278825,0.99375,1.545879334130787
SIMULATED,Reuse,TD-SV4,OOD,ERA,top_region,0.8163522012578616,0.7823899371069182,0.8465408805031446,0.99375,1.545879334130787
SIMULATED,Reuse,TD-SV4,OOD,ERA,best_of_4,0.6666666666666666,0.5911949685534591,0.7358490566037735,0.99375,1.545879334130787
SIMULATED,Reuse,TD-SV4,OOD,ERA,rank_regret,0.15723270440251572,0.11949685534591195,0.19496855345911948,0.99375,1.545879334130787
SIMULATED,Reuse,TD-IG1,ID,Single metric,pairwise,0.6677083333333333,0.6312239583333333,0.7031510416666666,1.0,0.22878498881933798
SIMULATED,Reuse,TD-IG1,ID,Single metric,top_region,0.6775,0.64,0.7137499999999999,1.0,0.22878498881933798
SIMULATED,Reuse,TD-IG1,ID,Single metric,best_of_4,0.44375,0.36875,0.5189062499999999,1.0,0.22878498881933798
SIMULATED,Reuse,TD-IG1,ID,Single metric,rank_regret,0.31875,0.2708333333333333,0.37296874999999996,1.0,0.22878498881933798
SIMULATED,Reuse,TD-IG1,ID,Metric ensemble,pairwise,0.6856540084388186,0.6550369198312237,0.7162447257383966,0.9875,0.6405309578685464
SIMULATED,Reuse,TD-IG1,ID,Metric ensemble,top_region,0.6822784810126581,0.6480696202531645,0.7164873417721519,0.9875,0.6405309578685464
SIMULATED,Reuse,TD-IG1,ID,Metric ensemble,best_of_4,0.4936708860759494,0.4177215189873418,0.5759493670886076,0.9875,0.6405309578685464
SIMULATED,Reuse,TD-IG1,ID,Metric ensemble,rank_regret,0.2594936708860759,0.2130801687763713,0.30801687763713076,0.9875,0.6405309578685464
SIMULATED,Reuse,TD-IG1,ID,Static judge,pairwise,0.7222222222222222,0.6886792452830188,0.7515985324947589,0.99375,0.8134420066893637
SIMULATED,Reuse,TD-IG1,ID,Static judge,top_region,0.730817610062893,0.6955974842767295,0.7622641509433962,0.99375,0.8134420066893637
SIMULATED,Reuse,TD-IG1,ID,Static judge,best_of_4,0.48427672955974843,0.4088050314465409,0.559748427672956,0.99375,0.8134420066893637
SIMULATED,Reuse,TD-IG1,ID,Static judge,rank_regret,0.25366876310272535,0.20964360587002093,0.29979035639413,0.99375,0.8134420066893637
SIMULATED,Reuse,TD-IG1,ID,Static tools,pairwise,0.7109704641350211,0.6793248945147679,0.7457805907172995,0.9875,1.0011653868876036
SIMULATED,Reuse,TD-IG1,ID,Static tools,top_region,0.7265822784810126,0.6873101265822785,0.7620253164556962,0.9875,1.0011653868876036
