provenance,setting,domain,component,input_group,delta_pp
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0000,-5.44511796996328
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0001,-4.503465349522181
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0002,8.73425936580459
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0003,12.2421970845951
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0004,-6.654661193183515
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0005,-1.092251167758015
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0006,-12.811016789909702
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0007,5.980675099484567
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0008,6.5219120167924975
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0009,12.059996544274233
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0010,1.6677484020567732
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0011,14.467195521588224
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0012,-15.242769848957064
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0013,-6.8975341929514435
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0014,-1.2251294522692115
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0015,-4.179853805381185
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0016,-5.289212924791326
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0017,-3.047503126862944
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0018,-15.73896786472287
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0019,18.887964492320922
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0020,-6.700838984290658
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0021,-5.4184858482697305
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0022,3.341047786154686
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0023,-8.54965557738669
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0024,5.9736524764504635
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0025,10.585042630161405
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0026,-6.4135449353519975
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0027,-4.845555635515842
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0028,-10.013074575397058
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0029,-7.127803874811724
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0030,-10.119439309768303
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0031,6.835762427956116
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0032,7.699037615344368
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0033,6.81117530564665
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0034,-2.089514471175839
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0035,-5.950207913903229
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0036,-0.32478980340452046
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0037,2.0928305929928044
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0038,-9.523813166451536
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0039,8.551074388830386
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0040,2.188731618382269
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0041,8.83676233066933
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0042,1.9943935038598761
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0043,6.755557161989211
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0044,5.132397065097039
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0045,-2.551173561937561
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0046,-1.4815798346161546
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0047,1.3825447849398156
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0048,0.11189553303893729
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0049,-3.3211414805177943
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0050,-7.352669437548726
SIMULATED,Reuse,TD-SV4,A,SIM-ABL-0-0051,5.629102164808473
