provenance,setting,method,cost_units,agreement_pct
SIMULATED,Reuse,Single metric,0.22639638854739638,66.48602094506083
SIMULATED,Reuse,Metric ensemble,0.643785151926187,69.92971269899857
SIMULATED,Reuse,Static judge,0.7938776469584067,71.34678149418716
SIMULATED,Reuse,Static tools,1.0227022214920185,73.96520611052881
SIMULATED,Reuse,Prompt optimization,1.1505489671420004,74.11827014936343
SIMULATED,Reuse,Program search,1.3893550570326394,74.75500919150907
SIMULATED,Reuse,ERA,1.5432228100814838,75.30103398445888
SIMULATED,Collect,Single metric,0.2269460224358486,66.18666194518535
SIMULATED,Collect,Metric ensemble,0.6464987311437518,68.32487611968745
SIMULATED,Collect,Static judge,0.7971376683388578,71.33540594625501
SIMULATED,Collect,Static tools,1.0256882976612056,72.40403561943715
SIMULATED,Collect,Prompt optimization,1.143371728077905,74.31769555478357
SIMULATED,Collect,Program search,1.3984556731420317,74.29310796645704
SIMULATED,Collect,ERA,1.543796393305405,75.81508175806488
