provenance,setting,input_group,feedback,agreement_pct
SIMULATED,Reuse,SIM-H-0000,H0,75.3947892572613
SIMULATED,Reuse,SIM-H-0000,H0+H1,72.25437472345385
SIMULATED,Reuse,SIM-H-0000,H0+H1+H2,79.07981470143534
SIMULATED,Reuse,SIM-H-0000,H0+H1+H2+H3,78.49863176881176
SIMULATED,Reuse,SIM-H-0001,H0,68.69061551798787
SIMULATED,Reuse,SIM-H-0001,H0+H1,76.59885314049168
SIMULATED,Reuse,SIM-H-0001,H0+H1+H2,79.99520330037335
SIMULATED,Reuse,SIM-H-0001,H0+H1+H2+H3,83.92745909237357
SIMULATED,Reuse,SIM-H-0002,H0,72.37705432641289
SIMULATED,Reuse,SIM-H-0002,H0+H1,71.37811890821241
SIMULATED,Reuse,SIM-H-0002,H0+H1+H2,76.87789954092763
SIMULATED,Reuse,SIM-H-0002,H0+H1+H2+H3,78.69934090147612
SIMULATED,Reuse,SIM-H-0003,H0,71.50266180730158
SIMULATED,Reuse,SIM-H-0003,H0+H1,75.7495971912845
SIMULATED,Reuse,SIM-H-0003,H0+H1+H2,83.10496688396272
SIMULATED,Reuse,SIM-H-0003,H0+H1+H2+H3,79.64243590835241
SIMULATED,Reuse,SIM-H-0004,H0,72.94549462455976
SIMULATED,Reuse,SIM-H-0004,H0+H1,79.16399998300044
SIMULATED,Reuse,SIM-H-0004,H0+H1+H2,81.44120958764401
SIMULATED,Reuse,SIM-H-0004,H0+H1+H2+H3,79.49407415462223
SIMULATED,Reuse,SIM-H-0005,H0,70.49371257134594
SIMULATED,Reuse,SIM-H-0005,H0+H1,75.5108074654938
SIMULATED,Reuse,SIM-H-0005,H0+H1+H2,80.11129996888309
SIMULATED,Reuse,SIM-H-0005,H0+H1+H2+H3,77.9405375423531
SIMULATED,Reuse,SIM-H-0006,H0,69.29902678245978
SIMULATED,Reuse,SIM-H-0006,H0+H1,79.02155680773707
SIMULATED,Reuse,SIM-H-0006,H0+H1+H2,75.90495263772716
SIMULATED,Reuse,SIM-H-0006,H0+H1+H2+H3,79.71351691724024
SIMULATED,Reuse,SIM-H-0007,H0,71.6625109575469
SIMULATED,Reuse,SIM-H-0007,H0+H1,77.91947242011966
SIMULATED,Reuse,SIM-H-0007,H0+H1+H2,81.69418230738329
SIMULATED,Reuse,SIM-H-0007,H0+H1+H2+H3,74.69276526434822
SIMULATED,Reuse,SIM-H-0008,H0,69.09010617806594
SIMULATED,Reuse,SIM-H-0008,H0+H1,75.91418876019623
SIMULATED,Reuse,SIM-H-0008,H0+H1+H2,78.36631743464962
SIMULATED,Reuse,SIM-H-0008,H0+H1+H2+H3,72.79158039381456
SIMULATED,Reuse,SIM-H-0009,H0,71.88297812093774
SIMULATED,Reuse,SIM-H-0009,H0+H1,76.32415567927062
SIMULATED,Reuse,SIM-H-0009,H0+H1+H2,80.61797353929047
SIMULATED,Reuse,SIM-H-0009,H0+H1+H2+H3,76.11731154731432
SIMULATED,Reuse,SIM-H-0010,H0,74.24074878433058
SIMULATED,Reuse,SIM-H-0010,H0+H1,75.26358836667968
SIMULATED,Reuse,SIM-H-0010,H0+H1+H2,77.23029838671057
SIMULATED,Reuse,SIM-H-0010,H0+H1+H2+H3,76.26149839569521
SIMULATED,Reuse,SIM-H-0011,H0,69.59963293465526
SIMULATED,Reuse,SIM-H-0011,H0+H1,77.71224425180964
SIMULATED,Reuse,SIM-H-0011,H0+H1+H2,78.94959223421488
SIMULATED,Reuse,SIM-H-0011,H0+H1+H2+H3,82.62894604060288
SIMULATED,Reuse,SIM-H-0012,H0,71.80487303882491
SIMULATED,Reuse,SIM-H-0012,H0+H1,77.98615377687834
SIMULATED,Reuse,SIM-H-0012,H0+H1+H2,81.4074724980798
SIMULATED,Reuse,SIM-H-0012,H0+H1+H2+H3,78.13211908133363
SIMULATED,Reuse,SIM-H-0013,H0,70.32301323546976
SIMULATED,Reuse,SIM-H-0013,H0+H1,71.51222888667891
SIMULATED,Reuse,SIM-H-0013,H0+H1+H2,78.247392913063
SIMULATED,Reuse,SIM-H-0013,H0+H1+H2+H3,80.76372958994143
SIMULATED,Reuse,SIM-H-0014,H0,76.1821578178203
SIMULATED,Reuse,SIM-H-0014,H0+H1,77.08596612838376
SIMULATED,Reuse,SIM-H-0014,H0+H1+H2,72.55821898833912
SIMULATED,Reuse,SIM-H-0014,H0+H1+H2+H3,77.70736962362965
SIMULATED,Reuse,SIM-H-0015,H0,71.23787135787555
SIMULATED,Reuse,SIM-H-0015,H0+H1,77.77714938536204
SIMULATED,Reuse,SIM-H-0015,H0+H1+H2,78.73788282976786
SIMULATED,Reuse,SIM-H-0015,H0+H1+H2+H3,80.0236524646943
SIMULATED,Reuse,SIM-H-0016,H0,73.05229245531332
SIMULATED,Reuse,SIM-H-0016,H0+H1,72.60072325056085
SIMULATED,Reuse,SIM-H-0016,H0+H1+H2,78.9669790595326
SIMULATED,Reuse,SIM-H-0016,H0+H1+H2+H3,77.74047240465761
SIMULATED,Reuse,SIM-H-0017,H0,69.64836248198107
SIMULATED,Reuse,SIM-H-0017,H0+H1,79.48968114331629
SIMULATED,Reuse,SIM-H-0017,H0+H1+H2,77.27224850279809
SIMULATED,Reuse,SIM-H-0017,H0+H1+H2+H3,75.32859135341661
SIMULATED,Reuse,SIM-H-0018,H0,74.20100016528819
SIMULATED,Reuse,SIM-H-0018,H0+H1,79.80487565409263
SIMULATED,Reuse,SIM-H-0018,H0+H1+H2,74.62573922940786
SIMULATED,Reuse,SIM-H-0018,H0+H1+H2+H3,79.3608679528548
SIMULATED,Reuse,SIM-H-0019,H0,73.55403542795307
SIMULATED,Reuse,SIM-H-0019,H0+H1,75.94004338814894
SIMULATED,Reuse,SIM-H-0019,H0+H1+H2,79.98632877221311
SIMULATED,Reuse,SIM-H-0019,H0+H1+H2+H3,79.80642362252438
SIMULATED,Reuse,SIM-H-0020,H0,73.09466862753101
SIMULATED,Reuse,SIM-H-0020,H0+H1,79.82254783551551
SIMULATED,Reuse,SIM-H-0020,H0+H1+H2,82.33488273447927
SIMULATED,Reuse,SIM-H-0020,H0+H1+H2+H3,81.10102932239467
SIMULATED,Reuse,SIM-H-0021,H0,73.39434050036634
SIMULATED,Reuse,SIM-H-0021,H0+H1,76.36943711906143
SIMULATED,Reuse,SIM-H-0021,H0+H1+H2,75.74069392199756
SIMULATED,Reuse,SIM-H-0021,H0+H1+H2+H3,83.18203843551784
SIMULATED,Reuse,SIM-H-0022,H0,72.87126444322976
SIMULATED,Reuse,SIM-H-0022,H0+H1,76.36256314468545
SIMULATED,Reuse,SIM-H-0022,H0+H1+H2,81.95568643967424
SIMULATED,Reuse,SIM-H-0022,H0+H1+H2+H3,82.26975710381886
SIMULATED,Reuse,SIM-H-0023,H0,70.56529075299467
SIMULATED,Reuse,SIM-H-0023,H0+H1,72.74350268115776
SIMULATED,Reuse,SIM-H-0023,H0+H1+H2,79.85182562380213
SIMULATED,Reuse,SIM-H-0023,H0+H1+H2+H3,79.21424976086708
SIMULATED,Reuse,SIM-H-0024,H0,70.16472690291123
SIMULATED,Reuse,SIM-H-0024,H0+H1,77.47324197820215
SIMULATED,Reuse,SIM-H-0024,H0+H1+H2,77.81840399216742
SIMULATED,Reuse,SIM-H-0024,H0+H1+H2+H3,76.26358271912027
SIMULATED,Reuse,SIM-H-0025,H0,73.91894132289622
SIMULATED,Reuse,SIM-H-0025,H0+H1,82.45626430538447
SIMULATED,Reuse,SIM-H-0025,H0+H1+H2,77.03037938246983
SIMULATED,Reuse,SIM-H-0025,H0+H1+H2+H3,75.92638149202705
SIMULATED,Reuse,SIM-H-0026,H0,72.4623570305981
SIMULATED,Reuse,SIM-H-0026,H0+H1,82.39486207528007
SIMULATED,Reuse,SIM-H-0026,H0+H1+H2,79.90452948520542
SIMULATED,Reuse,SIM-H-0026,H0+H1+H2+H3,78.00301839556481
SIMULATED,Reuse,SIM-H-0027,H0,72.0817560830038
SIMULATED,Reuse,SIM-H-0027,H0+H1,73.78840438266951
SIMULATED,Reuse,SIM-H-0027,H0+H1+H2,80.58471889318045
SIMULATED,Reuse,SIM-H-0027,H0+H1+H2+H3,75.98720018219629
SIMULATED,Reuse,SIM-H-0028,H0,69.14276946536093
SIMULATED,Reuse,SIM-H-0028,H0+H1,77.18245733827497
SIMULATED,Reuse,SIM-H-0028,H0+H1+H2,79.7307167552581
SIMULATED,Reuse,SIM-H-0028,H0+H1+H2+H3,77.96745570368081
SIMULATED,Reuse,SIM-H-0029,H0,72.56854460366861
SIMULATED,Reuse,SIM-H-0029,H0+H1,80.1048359587565
SIMULATED,Reuse,SIM-H-0029,H0+H1+H2,80.93293937448456
SIMULATED,Reuse,SIM-H-0029,H0+H1+H2+H3,78.48570993792923
SIMULATED,Reuse,SIM-H-0030,H0,73.05027868891347
SIMULATED,Reuse,SIM-H-0030,H0+H1,75.05534410213275
SIMULATED,Reuse,SIM-H-0030,H0+H1+H2,79.92825334545178
SIMULATED,Reuse,SIM-H-0030,H0+H1+H2+H3,81.73729401256512
SIMULATED,Reuse,SIM-H-0031,H0,70.2107135600445
SIMULATED,Reuse,SIM-H-0031,H0+H1,79.14544707690386
SIMULATED,Reuse,SIM-H-0031,H0+H1+H2,76.02956041960093
SIMULATED,Reuse,SIM-H-0031,H0+H1+H2+H3,81.91741325459834
SIMULATED,Reuse,SIM-H-0032,H0,72.64571078651693
SIMULATED,Reuse,SIM-H-0032,H0+H1,74.01663310211642
SIMULATED,Reuse,SIM-H-0032,H0+H1+H2,79.87977526698513
SIMULATED,Reuse,SIM-H-0032,H0+H1+H2+H3,77.44187355401226
SIMULATED,Reuse,SIM-H-0033,H0,71.442708686234
SIMULATED,Reuse,SIM-H-0033,H0+H1,77.0158044774275
SIMULATED,Reuse,SIM-H-0033,H0+H1+H2,78.48030233579418
SIMULATED,Reuse,SIM-H-0033,H0+H1+H2+H3,80.48618991280483
SIMULATED,Reuse,SIM-H-0034,H0,73.38031688292524
SIMULATED,Reuse,SIM-H-0034,H0+H1,77.1644412236499
SIMULATED,Reuse,SIM-H-0034,H0+H1+H2,77.82435214230698
SIMULATED,Reuse,SIM-H-0034,H0+H1+H2+H3,79.09226144334477
SIMULATED,Reuse,SIM-H-0035,H0,73.2949852279877
SIMULATED,Reuse,SIM-H-0035,H0+H1,74.50992012781666
SIMULATED,Reuse,SIM-H-0035,H0+H1+H2,78.7461008450743
SIMULATED,Reuse,SIM-H-0035,H0+H1+H2+H3,77.17233447290769
SIMULATED,Reuse,SIM-H-0036,H0,67.32702431516257
SIMULATED,Reuse,SIM-H-0036,H0+H1,73.451223365248
SIMULATED,Reuse,SIM-H-0036,H0+H1+H2,80.6723758896813
SIMULATED,Reuse,SIM-H-0036,H0+H1+H2+H3,75.39737982004968
SIMULATED,Reuse,SIM-H-0037,H0,71.24913547143821
SIMULATED,Reuse,SIM-H-0037,H0+H1,78.30661516096075
SIMULATED,Reuse,SIM-H-0037,H0+H1+H2,77.66331917384221
SIMULATED,Reuse,SIM-H-0037,H0+H1+H2+H3,76.05095877539473
SIMULATED,Reuse,SIM-H-0038,H0,70.95043948855518
SIMULATED,Reuse,SIM-H-0038,H0+H1,77.72555716044293
SIMULATED,Reuse,SIM-H-0038,H0+H1+H2,75.1734754095427
SIMULATED,Reuse,SIM-H-0038,H0+H1+H2+H3,74.71978236348008
SIMULATED,Reuse,SIM-H-0039,H0,73.51251325122438
SIMULATED,Reuse,SIM-H-0039,H0+H1,79.07141105490392
SIMULATED,Reuse,SIM-H-0039,H0+H1+H2,74.9364543664008
SIMULATED,Reuse,SIM-H-0039,H0+H1+H2+H3,74.02747939152593
SIMULATED,Reuse,SIM-H-0040,H0,74.34751012544085
SIMULATED,Reuse,SIM-H-0040,H0+H1,79.62209831006142
SIMULATED,Reuse,SIM-H-0040,H0+H1+H2,76.72602545470016
SIMULATED,Reuse,SIM-H-0040,H0+H1+H2+H3,76.17887298725365
SIMULATED,Reuse,SIM-H-0041,H0,74.93812290595444
SIMULATED,Reuse,SIM-H-0041,H0+H1,78.05102566002128
SIMULATED,Reuse,SIM-H-0041,H0+H1+H2,77.50563159188441
SIMULATED,Reuse,SIM-H-0041,H0+H1+H2+H3,76.82753470917976
SIMULATED,Reuse,SIM-H-0042,H0,73.63458124117898
SIMULATED,Reuse,SIM-H-0042,H0+H1,80.46909796748392
SIMULATED,Reuse,SIM-H-0042,H0+H1+H2,81.24441371496559
SIMULATED,Reuse,SIM-H-0042,H0+H1+H2+H3,80.0800046634485
SIMULATED,Reuse,SIM-H-0043,H0,75.26051287303329
SIMULATED,Reuse,SIM-H-0043,H0+H1,75.23392989520869
SIMULATED,Reuse,SIM-H-0043,H0+H1+H2,80.20174109157568
SIMULATED,Reuse,SIM-H-0043,H0+H1+H2+H3,77.70071350395263
SIMULATED,Reuse,SIM-H-0044,H0,68.82312644422417
SIMULATED,Reuse,SIM-H-0044,H0+H1,74.76668287702505
SIMULATED,Reuse,SIM-H-0044,H0+H1+H2,78.40567413780049
SIMULATED,Reuse,SIM-H-0044,H0+H1+H2+H3,77.91779398368371
SIMULATED,Reuse,SIM-H-0045,H0,72.93907320216174
SIMULATED,Reuse,SIM-H-0045,H0+H1,75.75221094096793
SIMULATED,Reuse,SIM-H-0045,H0+H1+H2,77.06275071584263
SIMULATED,Reuse,SIM-H-0045,H0+H1+H2+H3,76.1704440903155
SIMULATED,Reuse,SIM-H-0046,H0,71.55437857411843
SIMULATED,Reuse,SIM-H-0046,H0+H1,78.3365201662046
SIMULATED,Reuse,SIM-H-0046,H0+H1+H2,81.1480412985914
SIMULATED,Reuse,SIM-H-0046,H0+H1+H2+H3,81.59107784916681
SIMULATED,Reuse,SIM-H-0047,H0,68.04435934171313
SIMULATED,Reuse,SIM-H-0047,H0+H1,80.09353014737898
SIMULATED,Reuse,SIM-H-0047,H0+H1+H2,80.95393678185233
SIMULATED,Reuse,SIM-H-0047,H0+H1+H2+H3,79.64503053242541
SIMULATED,Reuse,SIM-H-0048,H0,71.50118264446341
SIMULATED,Reuse,SIM-H-0048,H0+H1,78.185950743018
SIMULATED,Reuse,SIM-H-0048,H0+H1+H2,76.30980536583371
SIMULATED,Reuse,SIM-H-0048,H0+H1+H2+H3,77.18049343803979
SIMULATED,Reuse,SIM-H-0049,H0,71.20618751438246
SIMULATED,Reuse,SIM-H-0049,H0+H1,74.83540346175346
SIMULATED,Reuse,SIM-H-0049,H0+H1+H2,78.0993804569081
SIMULATED,Reuse,SIM-H-0049,H0+H1+H2+H3,80.99541866930295
SIMULATED,Reuse,SIM-H-0050,H0,70.90990095407929
SIMULATED,Reuse,SIM-H-0050,H0+H1,76.68237057897558
SIMULATED,Reuse,SIM-H-0050,H0+H1+H2,80.59325650869344
SIMULATED,Reuse,SIM-H-0050,H0+H1+H2+H3,77.39339941724866
SIMULATED,Reuse,SIM-H-0051,H0,73.5565552375477
SIMULATED,Reuse,SIM-H-0051,H0+H1,75.42322890717455
SIMULATED,Reuse,SIM-H-0051,H0+H1+H2,75.34131032639144
SIMULATED,Reuse,SIM-H-0051,H0+H1+H2+H3,75.80755608846772
SIMULATED,Reuse,SIM-H-0052,H0,75.0260969346549
SIMULATED,Reuse,SIM-H-0052,H0+H1,73.85266177823951
SIMULATED,Reuse,SIM-H-0052,H0+H1+H2,81.97128114060283
SIMULATED,Reuse,SIM-H-0052,H0+H1+H2+H3,75.52478971910132
SIMULATED,Reuse,SIM-H-0053,H0,74.28566027188012
SIMULATED,Reuse,SIM-H-0053,H0+H1,78.89330850545039
SIMULATED,Reuse,SIM-H-0053,H0+H1+H2,79.08111857897245
SIMULATED,Reuse,SIM-H-0053,H0+H1+H2+H3,78.87526137182036
SIMULATED,Reuse,SIM-H-0054,H0,73.54037334171946
