provenance,setting,method,split,domain_count,assigned_cost,agreement_pct,best_of_4_pct
SIMULATED,Reuse,Static judge,OOD,11,0.794741103030303,70.08099593907104,50.58578327539948
SIMULATED,Reuse,Static tools,OOD,11,1.0155536310606061,71.13839183736913,52.203584505591735
SIMULATED,Reuse,Prompt optimization,OOD,11,1.1421278834595958,72.00908246311927,54.90730263374718
SIMULATED,Reuse,Program search,OOD,11,1.4083562829545453,73.27352935672974,57.03038515454022
SIMULATED,Reuse,ERA,OOD,11,1.5370922569444445,72.79110878443109,54.799656292431365
SIMULATED,Collect,Static judge,OOD,11,0.8000396941919192,68.86763265844836,48.50834676190555
SIMULATED,Collect,Static tools,OOD,11,1.0117123853535355,69.94666814989704,51.10047018082674
SIMULATED,Collect,Prompt optimization,OOD,11,1.139852159217172,70.51786407939406,51.313048211443935
SIMULATED,Collect,Program search,OOD,11,1.399580985858586,71.44831314888775,52.331231425428506
SIMULATED,Collect,ERA,OOD,11,1.5416003689393938,72.68520348907114,54.16496813989834
