provenance,domain,family,setting,split,method,requested_groups,complete_groups,mean,lower,upper,best_of_4,cost_units,x_inches,y_inches
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Static judge,120,118,0.6850282485593221,0.6426200557351696,0.7231638417012711,0.4915254237288136,0.7971748833333333,3.456956371363636,2.27601916183524
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Static tools,120,119,0.6988795518487395,0.6624649859663865,0.7339285717289915,0.5042016806722689,0.9998103,3.838279382727273,2.3364916434462883
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Prompt optimization,120,119,0.6932773108403361,0.6512605047815125,0.7324929968949581,0.46218487394957986,1.1325027416666666,4.087982432045455,2.312033192910434
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Program search,120,120,0.73611111125,0.6986111111625,0.7750000001666667,0.5833333333333334,1.4270642,4.64229354,2.4990384265322914
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,ERA,120,119,0.7198879549579832,0.6862745097457983,0.7549369748214285,0.5210084033613446,1.5634051416666666,4.898862402954546,2.428210830020728
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Static judge,120,119,0.6652661061344538,0.6218137248382353,0.7086834727815127,0.46218487394957986,0.8010566416666667,3.4642611347727272,2.1897409416986697
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Static tools,120,120,0.6805555554166667,0.6375000000812501,0.7222222222520833,0.45,1.0065458083333332,3.8509543847727272,2.256492129023264
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Prompt optimization,120,119,0.6750700279831932,0.6386554620126051,0.7114845932815126,0.42857142857142855,1.1759244166666667,4.169694129545455,2.2325432305032913
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Program search,120,119,0.7086834733613446,0.6680672272226891,0.7478991594957983,0.5210084033613446,1.4150971916666668,4.619773806136363,2.379293930783404
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,ERA,120,120,0.7374999999166666,0.6957986110375,0.7791666661770834,0.5916666666666667,1.5075833000000003,4.7938158463636364,2.5051020829695134
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Static judge,120,119,0.7268907557142859,0.6834383747415966,0.7661414560945379,0.5210084033613446,0.7868377916666667,3.437503844318182,2.4587838909892867
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Static tools,120,120,0.7305555551666667,0.6972222219145834,0.7624999995833334,0.5666666666666667,1.036390575,3.9071168093181816,2.4747837945984723
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Prompt optimization,120,120,0.7486111108333333,0.7124652776999999,0.7861111106666667,0.6,1.1494178083333333,4.119813512045455,2.553611341379861
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Program search,120,120,0.7361111112500001,0.7027777782479168,0.7708333328395834,0.5083333333333333,1.4043257083333336,4.599503832954546,2.499038426532292
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,ERA,120,120,0.7458333331666667,0.7083333331625,0.78194444425,0.5666666666666667,1.5398905416666664,4.854612201136363,2.541484027050139
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Static judge,120,119,0.6736694683193276,0.6358193279432773,0.7156862747962184,0.48739495798319327,0.773407075,3.4122296775,2.226428620437465
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Static tools,120,120,0.7208333329166667,0.6833333328312501,0.7569444440020834,0.575,0.9860567750000001,3.812397749318182,2.432338192625348
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Prompt optimization,120,117,0.702279201965812,0.6609686608504275,0.7436253556965813,0.5384615384615384,1.1392248833333334,4.100632280454546,2.3513339492490744
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Program search,120,118,0.7076271183050847,0.668079095845339,0.7443502821186441,0.5677966101694916,1.3699366166666667,4.534789815,2.3746820606669496
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,ERA,120,119,0.8025210078991596,0.7717086827710083,0.8347338928592437,0.6722689075630253,1.5337754,4.843104616363636,2.7889729669864143
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Static judge,120,120,0.6611111109166666,0.6291666665,0.6930555554166666,0.4083333333333333,0.8212926416666667,3.5023416075,2.171600925077014
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Static tools,120,120,0.7083333334166666,0.6722222226645833,0.7472569446354167,0.55,0.9828279583333334,3.806321703409091,2.377765278141597
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Prompt optimization,120,120,0.7152777770833334,0.6763888883312501,0.7513888877541668,0.5083333333333333,1.1156333250000001,4.056237257045455,2.4080835617829868
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Program search,120,120,0.7208333330833334,0.6791666664104167,0.7611111105833334,0.48333333333333334,1.3748940333333333,4.544118771818182,2.4323381933529866
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,ERA,120,120,0.7402777774166668,0.7027777774979166,0.7778124998750001,0.575,1.545115825,4.864445234318182,2.517229396571598
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Static judge,120,120,0.69444444425,0.6527777775729167,0.73611111084375,0.5333333333333333,0.7918395500000001,3.446916244090909,2.3171287028547916
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Static tools,120,120,0.6791666666666667,0.63750000025,0.7208680557104166,0.5,1.045734825,3.9247009888636364,2.2504284722222225
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Prompt optimization,120,120,0.7027777770833334,0.6597222215791667,0.7444791660416669,0.5833333333333334,1.1516935916666668,4.1240961225,2.3535106451163204
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Program search,120,120,0.6999999998333334,0.663888889,0.73611111066875,0.525,1.4233277666666666,4.635262251818181,2.341383332605695
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,ERA,120,118,0.7132768362711863,0.6765183620699152,0.7500000002563559,0.4830508474576271,1.539399075,4.853687350227273,2.3993477876872875
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Static judge,120,120,0.7208333329166667,0.6791319435458333,0.7597222213437501,0.5833333333333334,0.82464765,3.508655123181818,2.432338192625348
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Static tools,120,119,0.703081232184874,0.6666666665546219,0.7380952373991597,0.5126050420168067,1.0104793333333333,3.8583565636363635,2.354835479513796
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Prompt optimization,120,118,0.7288135591525425,0.6822033896567796,0.7712217514046611,0.5423728813559322,1.1226861750000003,4.069509438409091,2.467178530333475
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Program search,120,120,0.7236111110000001,0.6916319442895834,0.7555555551666667,0.575,1.4309395833333332,4.649586306818181,2.444465508774167
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,ERA,120,119,0.767507002184874,0.7296918762163866,0.8011204477394959,0.5798319327731093,1.535962475,4.847220293863637,2.636107653705462
