provenance,domain,family,setting,split,method,requested_groups,complete_groups,mean,lower,upper,best_of_4,cost_units
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Static judge,120,118,0.6850282485593221,0.6426200557351696,0.7231638417012711,0.4915254237288136,0.7971748833333333
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Static tools,120,119,0.6988795518487395,0.6624649859663865,0.7339285717289915,0.5042016806722689,0.9998103
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Prompt optimization,120,119,0.6932773108403361,0.6512605047815125,0.7324929968949581,0.46218487394957986,1.1325027416666666
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,Program search,120,120,0.73611111125,0.6986111111625,0.7750000001666667,0.5833333333333334,1.4270642
SIMULATED,TD-SV1,Structured visuals,Reuse,OOD,ERA,120,119,0.7198879549579832,0.6862745097457983,0.7549369748214285,0.5210084033613446,1.5634051416666666
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Static judge,120,119,0.6652661061344538,0.6218137248382353,0.7086834727815127,0.46218487394957986,0.8010566416666667
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Static tools,120,120,0.6805555554166667,0.6375000000812501,0.7222222222520833,0.45,1.0065458083333332
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Prompt optimization,120,119,0.6750700279831932,0.6386554620126051,0.7114845932815126,0.42857142857142855,1.1759244166666667
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,Program search,120,119,0.7086834733613446,0.6680672272226891,0.7478991594957983,0.5210084033613446,1.4150971916666668
SIMULATED,TD-SV2,Structured visuals,Collect,OOD,ERA,120,120,0.7374999999166666,0.6957986110375,0.7791666661770834,0.5916666666666667,1.5075833000000003
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Static judge,120,119,0.7268907557142859,0.6834383747415966,0.7661414560945379,0.5210084033613446,0.7868377916666667
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Static tools,120,120,0.7305555551666667,0.6972222219145834,0.7624999995833334,0.5666666666666667,1.036390575
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Prompt optimization,120,120,0.7486111108333333,0.7124652776999999,0.7861111106666667,0.6,1.1494178083333333
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,Program search,120,120,0.7361111112500001,0.7027777782479168,0.7708333328395834,0.5083333333333333,1.4043257083333336
SIMULATED,TD-SV3,Structured visuals,Reuse,OOD,ERA,120,120,0.7458333331666667,0.7083333331625,0.78194444425,0.5666666666666667,1.5398905416666664
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Static judge,120,119,0.6736694683193276,0.6358193279432773,0.7156862747962184,0.48739495798319327,0.773407075
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Static tools,120,120,0.7208333329166667,0.6833333328312501,0.7569444440020834,0.575,0.9860567750000001
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Prompt optimization,120,117,0.702279201965812,0.6609686608504275,0.7436253556965813,0.5384615384615384,1.1392248833333334
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,Program search,120,118,0.7076271183050847,0.668079095845339,0.7443502821186441,0.5677966101694916,1.3699366166666667
SIMULATED,TD-SV4,Structured visuals,Reuse,OOD,ERA,120,119,0.8025210078991596,0.7717086827710083,0.8347338928592437,0.6722689075630253,1.5337754
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Static judge,120,120,0.6611111109166666,0.6291666665,0.6930555554166666,0.4083333333333333,0.8212926416666667
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Static tools,120,120,0.7083333334166666,0.6722222226645833,0.7472569446354167,0.55,0.9828279583333334
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Prompt optimization,120,120,0.7152777770833334,0.6763888883312501,0.7513888877541668,0.5083333333333333,1.1156333250000001
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,Program search,120,120,0.7208333330833334,0.6791666664104167,0.7611111105833334,0.48333333333333334,1.3748940333333333
SIMULATED,TD-SV5,Structured visuals,Collect,OOD,ERA,120,120,0.7402777774166668,0.7027777774979166,0.7778124998750001,0.575,1.545115825
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Static judge,120,120,0.69444444425,0.6527777775729167,0.73611111084375,0.5333333333333333,0.7918395500000001
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Static tools,120,120,0.6791666666666667,0.63750000025,0.7208680557104166,0.5,1.045734825
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Prompt optimization,120,120,0.7027777770833334,0.6597222215791667,0.7444791660416669,0.5833333333333334,1.1516935916666668
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,Program search,120,120,0.6999999998333334,0.663888889,0.73611111066875,0.525,1.4233277666666666
SIMULATED,TD-SV6,Structured visuals,Collect,OOD,ERA,120,118,0.7132768362711863,0.6765183620699152,0.7500000002563559,0.4830508474576271,1.539399075
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Static judge,120,120,0.7208333329166667,0.6791319435458333,0.7597222213437501,0.5833333333333334,0.82464765
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Static tools,120,119,0.703081232184874,0.6666666665546219,0.7380952373991597,0.5126050420168067,1.0104793333333333
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Prompt optimization,120,118,0.7288135591525425,0.6822033896567796,0.7712217514046611,0.5423728813559322,1.1226861750000003
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,Program search,120,120,0.7236111110000001,0.6916319442895834,0.7555555551666667,0.575,1.4309395833333332
SIMULATED,TD-IG1,Images / 3D,Reuse,OOD,ERA,120,119,0.767507002184874,0.7296918762163866,0.8011204477394959,0.5798319327731093,1.535962475
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Static judge,120,120,0.6666666669166667,0.6277430555395832,0.7069444444187502,0.4083333333333333,0.7982326666666666
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Static tools,120,119,0.7142857140336134,0.6792366940819328,0.7478991593277311,0.5126050420168067,1.0202711166666667
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Prompt optimization,120,119,0.7114845932773111,0.6708683466386556,0.7507002792457984,0.5462184873949579,1.1567659833333332
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,Program search,120,120,0.7347222220000001,0.695798610475,0.7722222219166667,0.5916666666666667,1.4184805
SIMULATED,TD-IG2,Images / 3D,Reuse,OOD,ERA,120,120,0.6486111111666666,0.6083333337375001,0.6888888890916667,0.45,1.5246627000000001
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Static judge,120,120,0.7069444438333332,0.6624999999041666,0.7472222209229167,0.5416666666666666,0.7938896500000001
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Static tools,120,120,0.7138888885833334,0.6722222220791666,0.7499999993375001,0.5416666666666666,0.9913976166666667
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Prompt optimization,120,120,0.7277777771666667,0.6916666662500001,0.7597222215854167,0.6,1.1435327333333334
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,Program search,120,118,0.7330508477118644,0.7005296612266949,0.7683615817881356,0.576271186440678,1.4138366083333334
SIMULATED,TD-IG3,Images / 3D,Collect,OOD,ERA,120,120,0.7902777765833334,0.7541666655,0.8236111100041666,0.65,1.5528845
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Static judge,120,120,0.741666666,0.6986111105000001,0.7805555548354166,0.5583333333333333,0.804594225
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Static tools,120,120,0.7402777774166668,0.7083333334104167,0.7708333328333334,0.5583333333333333,0.98844205
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Prompt optimization,120,117,0.7450142445299146,0.7079772075192309,0.7792022785470086,0.5811965811965812,1.1393464666666666
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,Program search,120,119,0.7352941173109243,0.6974789916806723,0.7717086829453781,0.5126050420168067,1.4038228666666666
SIMULATED,TD-IG4,Images / 3D,Collect,OOD,ERA,120,119,0.7717086828571429,0.736659663394958,0.8053571424768907,0.5798319327731093,1.5038301499999998
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Static judge,120,120,0.6694444439999999,0.6277777776583334,0.7152777771708335,0.4583333333333333,0.7981526916666667
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Static tools,120,119,0.6736694676470588,0.6316176467647059,0.7142857141176472,0.46218487394957986,1.0063456333333332
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Prompt optimization,120,119,0.6918767505882353,0.6554621852878152,0.7282913160588236,0.5042016806722689,1.1624981333333333
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,Program search,120,119,0.7030812321008405,0.6652661065483193,0.740896357817227,0.5630252100840336,1.4284995666666667
SIMULATED,TD-IG5,Images / 3D,Reuse,OOD,ERA,120,120,0.69861111075,0.6583333332479168,0.7374999995020834,0.475,1.5009928250000002
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Static judge,120,120,0.6833333332499999,0.64027777824375,0.7222222220854168,0.4166666666666667,0.7776939000000002
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Static tools,120,118,0.6906779659322034,0.6468573441144069,0.7259887000889831,0.4406779661016949,1.0273946333333333
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Prompt optimization,120,119,0.6764705882352943,0.6372549021785714,0.7184873945483193,0.453781512605042,1.1115378500000002
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,Program search,120,120,0.72638888875,0.6861111112458333,0.7624999998333333,0.48333333333333334,1.3739660583333335
SIMULATED,TD-IG6,Images / 3D,Collect,OOD,ERA,120,120,0.7402777770833333,0.7041666664083334,0.776388888,0.5333333333333333,1.5701197916666667
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Static judge,144,144,0.7361111106944445,0.7025173610017362,0.7662037035416667,0.5833333333333334,0.7706179722222222
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Static tools,144,142,0.7511737084507042,0.7194835678133803,0.7829225345950703,0.5915492957746479,1.018048576388889
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Prompt optimization,144,142,0.7605633797887325,0.721801642778169,0.7946302812341549,0.6126760563380281,1.1328676875
SIMULATED,TD-TG1,Text generation,Reuse,OOD,Program search,144,143,0.7738927729370629,0.7423951038129372,0.8053904419283218,0.5944055944055944,1.3786783819444444
SIMULATED,TD-TG1,Text generation,Reuse,OOD,ERA,144,143,0.7459207457342657,0.7132867132832168,0.7820512819632868,0.6013986013986014,1.527899111111111
SIMULATED,TD-TG2,Text generation,Collect,OOD,Static judge,144,143,0.6759906754545456,0.6398601393653846,0.7132867127325175,0.44755244755244755,0.779275875
SIMULATED,TD-TG2,Text generation,Collect,OOD,Static tools,144,144,0.7118055553472222,0.6793981483281251,0.7453703702083333,0.5347222222222222,1.070899020833333
SIMULATED,TD-TG2,Text generation,Collect,OOD,Prompt optimization,144,143,0.678321678041958,0.6375291374038462,0.7109848484318182,0.4825174825174825,1.158152625
SIMULATED,TD-TG2,Text generation,Collect,OOD,Program search,144,141,0.6820330965248227,0.6394503541400709,0.7210401887251773,0.5319148936170213,1.4145495138888888
SIMULATED,TD-TG2,Text generation,Collect,OOD,ERA,144,144,0.6724537033333333,0.6377025458038194,0.7083622682291667,0.5208333333333334,1.5226420416666666
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Static judge,144,142,0.7276995300704225,0.6971830978855635,0.7547241780669014,0.5211267605633803,0.8044222569444445
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Static tools,144,144,0.7476851848611111,0.7141203702673612,0.7812499997274305,0.5347222222222222,0.9940066944444443
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Prompt optimization,144,144,0.7175925922916666,0.6840277774288194,0.7511863425347223,0.5416666666666666,1.1276778055555556
SIMULATED,TD-TG3,Text generation,Reuse,OOD,Program search,144,144,0.7546296289583334,0.7199074068038195,0.7847222214600694,0.5972222222222222,1.4162600277777777
SIMULATED,TD-TG3,Text generation,Reuse,OOD,ERA,144,144,0.7361111109027778,0.70254629625,0.7697048610711805,0.5277777777777778,1.5259239791666666
SIMULATED,TD-TG4,Text generation,Collect,OOD,Static judge,144,144,0.7106481480555557,0.6724537038177084,0.7476851847986111,0.5486111111111112,0.8075825972222223
SIMULATED,TD-TG4,Text generation,Collect,OOD,Static tools,144,143,0.706293706013986,0.6689685310174825,0.7436188810192308,0.5454545454545454,1.0193191041666667
SIMULATED,TD-TG4,Text generation,Collect,OOD,Prompt optimization,144,143,0.7144522141258742,0.679487179368881,0.7517482511888113,0.5104895104895105,1.1256352222222223
SIMULATED,TD-TG4,Text generation,Collect,OOD,Program search,144,143,0.7284382281118881,0.6934731933496504,0.7599358973723777,0.5244755244755245,1.3789175972222223
SIMULATED,TD-TG4,Text generation,Collect,OOD,ERA,144,142,0.7265258211267605,0.6912852104630283,0.759389670705986,0.5352112676056338,1.565315798611111
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Static judge,144,144,0.6770833328472222,0.6307870365225695,0.7187789346250001,0.4652777777777778,0.8157867986111111
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Static tools,144,144,0.6909722218750001,0.6550925924270833,0.7234085644809027,0.4722222222222222,1.0209675208333333
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Prompt optimization,144,144,0.7303240738888888,0.6909722224913195,0.7673900460121528,0.5902777777777778,1.155049909722222
SIMULATED,TD-TG5,Text generation,Reuse,OOD,Program search,144,144,0.7187499996527777,0.6863136570486111,0.7488425921527777,0.5555555555555556,1.4045302361111112
SIMULATED,TD-TG5,Text generation,Reuse,OOD,ERA,144,143,0.7272727269230769,0.6934731930052447,0.7599067595157344,0.5314685314685315,1.5193024722222224
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Static judge,144,141,0.7009456264539007,0.6678487000691489,0.7328900711613475,0.48226950354609927,0.7946575347222223
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Static tools,144,142,0.6877934270422534,0.6560739434119719,0.7206572767605633,0.5211267605633803,1.0420536875000002
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Prompt optimization,144,142,0.7065727692253522,0.663145539556338,0.7441607974295774,0.5492957746478874,1.1547941180555557
SIMULATED,TD-AR1,Automated research,Reuse,OOD,Program search,144,143,0.7062937063636364,0.6736305360524475,0.7377622376223776,0.5454545454545454,1.4040895625
SIMULATED,TD-AR1,Automated research,Reuse,OOD,ERA,144,144,0.6736111110416666,0.6388888890260417,0.7083333333350694,0.5138888888888888,1.5400231944444445
SIMULATED,TD-AR2,Automated research,Collect,OOD,Static judge,144,144,0.6932870364583334,0.6562210641197918,0.7303530087795138,0.5069444444444444,0.8185374652777777
SIMULATED,TD-AR2,Automated research,Collect,OOD,Static tools,144,142,0.6948356804225352,0.6572769950704226,0.7300469482394366,0.528169014084507,0.9911196319444444
SIMULATED,TD-AR2,Automated research,Collect,OOD,Prompt optimization,144,144,0.7037037033333333,0.6666377307326389,0.7419270830173611,0.5347222222222222,1.1518330555555556
SIMULATED,TD-AR2,Automated research,Collect,OOD,Program search,144,142,0.7206572766901408,0.687764083702465,0.7558978867394365,0.5915492957746479,1.3953739791666666
SIMULATED,TD-AR2,Automated research,Collect,OOD,ERA,144,144,0.701388888611111,0.664351851734375,0.7338252315538194,0.5069444444444444,1.5285949930555556
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Static judge,144,144,0.7245370368055555,0.6932581015555556,0.7581018515277778,0.5625,0.7782148125
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Static tools,144,143,0.7062937060839161,0.6713286715332167,0.7412587411206295,0.48951048951048953,1.0366597291666666
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Prompt optimization,144,143,0.729603729090909,0.694638693986014,0.7645687641293707,0.5524475524475524,1.1299214722222222
SIMULATED,TD-AR3,Automated research,Reuse,OOD,Program search,144,142,0.7652582154225352,0.7311913139753522,0.7969483559190141,0.5915492957746479,1.4091147291666666
SIMULATED,TD-AR3,Automated research,Reuse,OOD,ERA,144,141,0.7411347515602837,0.708008274003546,0.7730496447588653,0.5886524822695035,1.5961769861111113
SIMULATED,TD-AR4,Automated research,Collect,OOD,Static judge,144,143,0.6631701631468531,0.6270396271293707,0.7004662002919582,0.45454545454545453,0.8041303333333334
SIMULATED,TD-AR4,Automated research,Collect,OOD,Static tools,144,143,0.6748251742657342,0.6421911419562937,0.7062937053181819,0.4755244755244755,1.0124258819444445
SIMULATED,TD-AR4,Automated research,Collect,OOD,Prompt optimization,144,144,0.711805555486111,0.6793981487482639,0.7430555552795138,0.5069444444444444,1.1473521458333336
SIMULATED,TD-AR4,Automated research,Collect,OOD,Program search,144,144,0.7083333329861111,0.6736111111059029,0.7453703697916666,0.4930555555555556,1.3901548888888888
SIMULATED,TD-AR4,Automated research,Collect,OOD,ERA,144,143,0.675990676153846,0.6421620047884615,0.7109557109108391,0.44755244755244755,1.5434732222222225
SIMULATED,TD-AR5,Automated research,Collect,OOD,Static judge,144,142,0.6795774649295774,0.6408157278450703,0.7171361502816901,0.45774647887323944,0.8005437569444445
SIMULATED,TD-AR5,Automated research,Collect,OOD,Static tools,144,143,0.693473193006993,0.6549825170262237,0.7307692302814687,0.4965034965034965,0.9927297083333334
SIMULATED,TD-AR5,Automated research,Collect,OOD,Prompt optimization,144,143,0.7062937056643357,0.6748251741241259,0.7377622371346155,0.45454545454545453,1.1177323194444446
SIMULATED,TD-AR5,Automated research,Collect,OOD,Program search,144,144,0.6956018520138889,0.6585648151388889,0.7314814816684027,0.5138888888888888,1.4114503402777778
SIMULATED,TD-AR5,Automated research,Collect,OOD,ERA,144,144,0.7256944444444444,0.6898148149947917,0.7592881946111112,0.5347222222222222,1.578645361111111
