provenance,domain,code,domain_name,display_name,family,setting,split,requested_input_groups,candidates_per_input,candidate_slots,start_degrees,end_degrees,tint_fraction
SIMULATED,TD-IG1,IG1,Detailed captioning,Captioning,Images / 3D,Reuse,OOD,120,4,480,75.0,90.0,0.56
SIMULATED,TD-IG2,IG2,Text → image,Text→image,Images / 3D,Reuse,OOD,120,4,480,60.0,75.0,0.648
SIMULATED,TD-IG3,IG3,Instruction-based editing,Instruction edit,Images / 3D,Collect,OOD,120,4,480,45.0,60.0,0.736
SIMULATED,TD-IG4,IG4,Super-resolution,Super-resolution,Images / 3D,Collect,OOD,120,4,480,30.0,45.0,0.8240000000000001
SIMULATED,TD-IG5,IG5,Text → 3D,Text→3D,Images / 3D,Reuse,OOD,120,4,480,15.0,30.0,0.912
SIMULATED,TD-IG6,IG6,Image → 3D,Image→3D,Images / 3D,Collect,OOD,120,4,480,0.0,15.0,1.0
SIMULATED,TD-AR1,AR1,Research ideas,Research ideas,Automated research,Reuse,OOD,144,4,576,-18.0,0.0,0.56
SIMULATED,TD-AR2,AR2,Ablation plans,Ablation plans,Automated research,Collect,OOD,144,4,576,-36.0,-18.0,0.67
SIMULATED,TD-AR3,AR3,Table → insight,Table→insight,Automated research,Reuse,OOD,144,4,576,-54.0,-36.0,0.78
SIMULATED,TD-AR4,AR4,Related work,Related work,Automated research,Collect,OOD,144,4,576,-72.0,-54.0,0.89
SIMULATED,TD-AR5,AR5,Peer-review critique,Review critique,Automated research,Collect,OOD,144,4,576,-90.0,-72.0,1.0
SIMULATED,TD-TG1,TG1,Document summarization,Summarization,Text generation,Reuse,OOD,144,4,576,-108.0,-90.0,0.56
SIMULATED,TD-TG2,TG2,RAG long-form answers,RAG long-form,Text generation,Collect,OOD,144,4,576,-126.0,-108.0,0.67
SIMULATED,TD-TG3,TG3,Translation,Translation,Text generation,Reuse,OOD,144,4,576,-144.0,-126.0,0.78
SIMULATED,TD-TG4,TG4,Instruction constraints,Instr. constraints,Text generation,Collect,OOD,144,4,576,-162.0,-144.0,0.89
SIMULATED,TD-TG5,TG5,Open dialogue,Dialogue,Text generation,Reuse,OOD,144,4,576,-180.0,-162.0,1.0
SIMULATED,TD-SV1,SV1,Brief → single slide,Brief→slide,Structured visuals,Reuse,OOD,120,4,480,-195.0,-180.0,0.56
SIMULATED,TD-SV2,SV2,Screenshot → webpage,Screenshot→web,Structured visuals,Collect,OOD,120,4,480,-210.0,-195.0,0.648
SIMULATED,TD-SV3,SV3,Data → visualization,Data→chart,Structured visuals,Reuse,OOD,120,4,480,-225.0,-210.0,0.736
SIMULATED,TD-SV4,SV4,Specification → webpage,Spec.→webpage,Structured visuals,Reuse,OOD,120,4,480,-240.0,-225.0,0.8240000000000001
SIMULATED,TD-SV5,SV5,Sources → slide deck,Sources→deck,Structured visuals,Collect,OOD,120,4,480,-255.0,-240.0,0.912
SIMULATED,TD-SV6,SV6,Topic → slide deck,Topic→deck,Structured visuals,Collect,OOD,120,4,480,-270.0,-255.0,1.0
