provenance,setting,method,selected_rank,count,denominator,share_pct
SIMULATED,Reuse,Static judge,1,915,1760,51.98863636363637
SIMULATED,Reuse,Static judge,2,470,1760,26.704545454545453
SIMULATED,Reuse,Static judge,3,277,1760,15.738636363636363
SIMULATED,Reuse,Static judge,4,91,1760,5.170454545454546
SIMULATED,Reuse,Static judge,unscored,7,1760,0.3977272727272727
SIMULATED,Reuse,Static tools,1,1001,1760,56.875
SIMULATED,Reuse,Static tools,2,427,1760,24.261363636363637
SIMULATED,Reuse,Static tools,3,206,1760,11.704545454545455
SIMULATED,Reuse,Static tools,4,118,1760,6.704545454545454
SIMULATED,Reuse,Static tools,unscored,8,1760,0.45454545454545453
SIMULATED,Reuse,Program search,1,1010,1760,57.38636363636363
SIMULATED,Reuse,Program search,2,440,1760,25.0
SIMULATED,Reuse,Program search,3,214,1760,12.159090909090908
SIMULATED,Reuse,Program search,4,85,1760,4.829545454545454
SIMULATED,Reuse,Program search,unscored,11,1760,0.625
SIMULATED,Reuse,ERA,1,1072,1760,60.90909090909091
SIMULATED,Reuse,ERA,2,397,1760,22.556818181818183
SIMULATED,Reuse,ERA,3,185,1760,10.511363636363637
SIMULATED,Reuse,ERA,4,97,1760,5.511363636363637
SIMULATED,Reuse,ERA,unscored,9,1760,0.5113636363636364
SIMULATED,Collect,Static judge,1,938,1760,53.29545454545455
SIMULATED,Collect,Static judge,2,467,1760,26.53409090909091
SIMULATED,Collect,Static judge,3,238,1760,13.522727272727273
SIMULATED,Collect,Static judge,4,110,1760,6.25
SIMULATED,Collect,Static judge,unscored,7,1760,0.3977272727272727
SIMULATED,Collect,Static tools,1,956,1760,54.31818181818182
SIMULATED,Collect,Static tools,2,428,1760,24.318181818181817
SIMULATED,Collect,Static tools,3,244,1760,13.863636363636363
SIMULATED,Collect,Static tools,4,114,1760,6.4772727272727275
SIMULATED,Collect,Static tools,unscored,18,1760,1.0227272727272727
SIMULATED,Collect,Program search,1,990,1760,56.25
SIMULATED,Collect,Program search,2,441,1760,25.056818181818183
SIMULATED,Collect,Program search,3,228,1760,12.954545454545455
SIMULATED,Collect,Program search,4,93,1760,5.284090909090909
SIMULATED,Collect,Program search,unscored,8,1760,0.45454545454545453
SIMULATED,Collect,ERA,1,1045,1760,59.375
SIMULATED,Collect,ERA,2,450,1760,25.568181818181817
SIMULATED,Collect,ERA,3,168,1760,9.545454545454545
SIMULATED,Collect,ERA,4,83,1760,4.715909090909091
SIMULATED,Collect,ERA,unscored,14,1760,0.7954545454545454
